Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:0:48,0:0:51,48,"Rachel, let me see.",Batman Begins
1,0:0:57,0:1:0,57, Can I see?  Finders keepers. And I found it.,Batman Begins
2,0:1:0,0:1:2,60,In my garden.,Batman Begins
3,0:1:3,0:1:5,63,Finders keepers.,Batman Begins
4,0:1:12,0:1:14,72,Bruce?,Batman Begins
5,0:1:19,0:1:20,79,Bruce?,Batman Begins
6,0:1:23,0:1:25,83,Mom! Mr. Alfred!,Batman Begins
7,0:1:48,0:1:50,108,Did you have dream?,Batman Begins
8,0:1:51,0:1:53,111,Nightmare.,Batman Begins
9,0:1:57,0:1:59,117,Worse than this place?,Batman Begins
10,0:2:21,0:2:23,141,They are going to fight you.,Batman Begins
11,0:2:23,0:2:25,143, Again?  Until they kill you.,Batman Begins
12,0:2:27,0:2:29,147,Can they kill me before breakfast?,Batman Begins
13,0:2:31,0:2:34,151,"You are in hell, little man.",Batman Begins
14,0:2:37,0:2:40,157,And I am the devil.,Batman Begins
15,0:2:43,0:2:45,163,You're not the devil.,Batman Begins
16,0:2:45,0:2:46,165,You're practice.,Batman Begins
17,0:3:30,0:3:31,210,Solitary.,Batman Begins
18,0:3:31,0:3:33,211, Why?  For protection.,Batman Begins
19,0:3:34,0:3:36,214, I don't need protection.  Protection for them.,Batman Begins
20,0:3:40,0:3:42,220,Get in.,Batman Begins
21,0:3:46,0:3:48,226,Are you so desperate to fight criminals...,Batman Begins
22,0:3:48,0:3:51,228,...that you lock yourself in to take them on one at a time?,Batman Begins
23,0:3:52,0:3:56,232,"Actually, there were seven of them.",Batman Begins
24,0:3:56,0:3:58,236,"I counted six, Mr. Wayne.",Batman Begins
25,0:4:2,0:4:3,242,How do you know my name?,Batman Begins
26,0:4:3,0:4:6,243,The world is too small for someone like Bruce Wayne to disappear...,Batman Begins
27,0:4:7,0:4:9,247,...no matter how deep he chooses to sink.,Batman Begins
28,0:4:9,0:4:10,249,Who are you?,Batman Begins
29,0:4:10,0:4:14,250,"My name is merely Ducard, but I speak for Ra's al Ghul...",Batman Begins
30,0:4:14,0:4:17,254,...a man greatly feared by the criminal underworld.,Batman Begins
31,0:4:18,0:4:19,258,A man who can offer you a path.,Batman Begins
32,0:4:20,0:4:23,260,What makes you think I need a path?,Batman Begins
33,0:4:23,0:4:26,263,Someone like you is only here by choice.,Batman Begins
34,0:4:26,0:4:28,266,You have been exploring the criminal fraternity...,Batman Begins
35,0:4:28,0:4:31,268,...but whatever your original intentions...,Batman Begins
36,0:4:31,0:4:35,271,...you have become truly lost.,Batman Begins
37,0:4:36,0:4:40,276,And what path can Ra's al Ghul offer?,Batman Begins
38,0:4:40,0:4:44,280,The path of a man who shares his hatred of evil...,Batman Begins
39,0:4:44,0:4:48,284,...and wishes to serve true justice.,Batman Begins
40,0:4:48,0:4:50,288,The path of the League of Shadows.,Batman Begins
41,0:4:53,0:4:56,293," You're vigilantes.  No, no, no.",Batman Begins
42,0:4:56,0:5:0,296,A vigilante is just a man lost in the scramble for his own gratification.,Batman Begins
43,0:5:0,0:5:4,300,He can be destroyed or locked up.,Batman Begins
44,0:5:5,0:5:10,305,But if you make yourself more than just a man...,Batman Begins
45,0:5:10,0:5:13,310,...if you devote yourself to an ideal...,Batman Begins
46,0:5:13,0:5:16,313,...and if they can't stop you...,Batman Begins
47,0:5:16,0:5:19,316,...then you become something else entirely.,Batman Begins
48,0:5:20,0:5:22,320,Which is?,Batman Begins
49,0:5:22,0:5:25,322,"Legend, Mr. Wayne.",Batman Begins
50,0:5:27,0:5:28,327,"Tomorrow, you will be released.",Batman Begins
51,0:5:28,0:5:32,328,If you are bored of brawling with thieves and want to achieve something...,Batman Begins
52,0:5:32,0:5:36,332,...there is a rare blue flower that grows on the eastern slopes.,Batman Begins
53,0:5:36,0:5:37,336,Pick one of these flowers.,Batman Begins
54,0:5:38,0:5:41,338,If you can carry it to the top of the mountain...,Batman Begins
55,0:5:41,0:5:44,341,...you may find what you were looking for in the first place.,Batman Begins
56,0:5:44,0:5:47,344,And what was I looking for?,Batman Begins
57,0:5:48,0:5:50,348,Only you can know that.,Batman Begins
58,0:6:57,0:7:1,417,You turn back. You go back.,Batman Begins
59,0:8:9,0:8:11,489,Ra's al Ghul?,Batman Begins
60,0:8:21,0:8:22,501,Wait.,Batman Begins
61,0:8:25,0:8:27,505,What are you seeking?,Batman Begins
62,0:8:28,0:8:30,508,I seek...,Batman Begins
63,0:8:31,0:8:33,511,...the means to fight injustice.,Batman Begins
64,0:8:34,0:8:36,514,To turn fear...,Batman Begins
65,0:8:36,0:8:39,516,...against those who prey on the fearful.,Batman Begins
66,0:9:1,0:9:4,541,To manipulate the fears in others...,Batman Begins
67,0:9:5,0:9:8,545,...you must first master your own.,Batman Begins
68,0:9:9,0:9:10,549,Are you ready to begin?,Batman Begins
69,0:9:11,0:9:14,551,I can... I can barely stand.,Batman Begins
70,0:9:14,0:9:16,554,Death does not wait for you to be ready!,Batman Begins
71,0:9:17,0:9:20,557,Death is not considerate or fair!,Batman Begins
72,0:9:20,0:9:25,560,"And make no mistake, here you face death.",Batman Begins
