Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:3:2,0:3:4,182,Kinda lonesome back here.,Deadpool
1,0:3:5,0:3:6,185,"Yeah, little help.",Deadpool
2,0:3:7,0:3:12,187,"Okay, just, I have to keep my hands on the wheel.",Deadpool
3,0:3:13,0:3:14,193,Excuse me.,Deadpool
4,0:3:16,0:3:17,196,Dopinder.,Deadpool
5,0:3:17,0:3:19,197,Pool. Dead.,Deadpool
6,0:3:21,0:3:22,201,Nice.,Deadpool
7,0:3:23,0:3:24,203,"Smells good, no?",Deadpool
8,0:3:24,0:3:26,204,Not the Daffodil Daydream. The girl.,Deadpool
9,0:3:27,0:3:30,207,Yes. Gita. She is quite lovely.,Deadpool
10,0:3:30,0:3:34,210,She would have made me a very agreeable wife.,Deadpool
11,0:3:35,0:3:38,215,"But, Gita's heart has been stolen by my cousin Bandhu.",Deadpool
12,0:3:38,0:3:42,218,He is as dishonorable as he is attractive.,Deadpool
13,0:3:43,0:3:47,223,"Dopinder, I'm starting to think there's a reason I'm in this cab today.",Deadpool
14,0:3:48,0:3:49,228,"Yeah, sir, you called for it, remember?",Deadpool
15,0:3:49,0:3:54,229,"No, my slender brown friend. Love is a beautiful thing.",Deadpool
16,0:3:54,0:3:57,234,"When you find it, the whole world tastes like Daffodil Daydream.",Deadpool
17,0:3:58,0:4:0,238,So you gotta hold onto love...,Deadpool
18,0:4:0,0:4:2,240,tight!,Deadpool
19,0:4:2,0:4:5,242,And never let go. Don't make the same mistakes I did.,Deadpool
20,0:4:5,0:4:6,245, Got it?  Yeah.,Deadpool
21,0:4:6,0:4:9,246,Or else the whole world tastes like Mama June after hot yoga.,Deadpool
22,0:4:10,0:4:12,250,"Sir, what does Miss Mama June taste like?",Deadpool
23,0:4:12,0:4:15,252," Like two hobos fucking in a shoe filled with piss.  Okay, enough.",Deadpool
24,0:4:15,0:4:18,255,"I can go all day, Dopinder. The point is, it's bad!",Deadpool
25,0:4:18,0:4:20,258,It's bad.,Deadpool
26,0:4:21,0:4:23,261,"Why the fancy red suit, Mr. Pool?",Deadpool
27,0:4:23,0:4:25,263,"That's because it's Christmas Day, Dopinder.",Deadpool
28,0:4:25,0:4:28,265,And I'm after someone on my naughty list.,Deadpool
29,0:4:28,0:4:31,268,"I've been waiting one year, three weeks, six days and...",Deadpool
30,0:4:32,0:4:34,272,14 minutes to make him fix what he did to me.,Deadpool
31,0:4:35,0:4:38,275,"And what did he do to you, Mr. Pool?",Deadpool
32,0:4:38,0:4:39,278,This shit...,Deadpool
33,0:4:41,0:4:41,281,Boo!,Deadpool
34,0:5:2,0:5:3,302,They won't disappoint.,Deadpool
35,0:5:4,0:5:6,304,They'd better not.,Deadpool
36,0:5:6,0:5:8,306,And what about next month's shipment?,Deadpool
37,0:5:8,0:5:10,308,There won't be one.,Deadpool
38,0:5:10,0:5:12,310,You're not the only one with a war to win.,Deadpool
39,0:5:13,0:5:14,313,That won't do.,Deadpool
40,0:5:17,0:5:21,317,"See, we've had this small disruption to our supply chain...",Deadpool
41,0:5:25,0:5:27,325,We'd appreciate your patience.,Deadpool
42,0:5:30,0:5:31,330,Okay.,Deadpool
43,0:5:31,0:5:34,331,We'll deliver in full the following month.,Deadpool
44,0:5:37,0:5:38,337,Pleasure doing business with you.,Deadpool
45,0:5:42,0:5:44,342,Fucking mutant.,Deadpool
46,0:5:54,0:5:55,354,"Ah, shit!",Deadpool
47,0:5:56,0:5:57,356,I forgot my ammo bag.,Deadpool
48,0:5:57,0:6:0,357," Shall we turn back?  No, no time.",Deadpool
