Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:0:43,0:0:45,43,Excuse me.,Dumb and Dumber
1,0:0:45,0:0:47,45,Could you tell me how to get to the medical school?,Dumb and Dumber
2,0:0:47,0:0:50,47,"I'm supposed to be doing a lecture in about 20 minutes,",Dumb and Dumber
3,0:0:50,0:0:52,50,and my driver's a bit lost.,Dumb and Dumber
4,0:0:52,0:0:55,52,"You go straight ahead,",Dumb and Dumber
5,0:0:55,0:0:58,55,"and, uh, you make a left over the bridge.",Dumb and Dumber
6,0:1:0,0:1:2,60,That's a lovely accent you have.,Dumb and Dumber
7,0:1:2,0:1:6,62, New Jersey?  Austria.,Dumb and Dumber
8,0:1:6,0:1:8,66,"Austria! Well, then...",Dumb and Dumber
9,0:1:8,0:1:11,68,"G'day, mate.",Dumb and Dumber
10,0:1:12,0:1:16,72,Let's put another shrimp on the barbie.,Dumb and Dumber
11,0:1:16,0:1:18,76,Let's not.,Dumb and Dumber
32,0:2:41,0:2:43,161,"Now, who's got the wiener schnitzel?",Dumb and Dumber
33,0:2:45,0:2:47,165,"Beautiful. There you go, Dolf.",Dumb and Dumber
34,0:2:47,0:2:49,167,"There you go, buddy. Yeah.",Dumb and Dumber
35,0:2:49,0:2:51,169,Let's see.,Dumb and Dumber
36,0:2:51,0:2:54,171,"Next, we got roast beef au jus.",Dumb and Dumber
37,0:2:55,0:2:57,175,Who's got the roast beef au jus?,Dumb and Dumber
38,0:2:57,0:3:0,177,"Stella, beautiful. Bon appetit, Stella.",Dumb and Dumber
39,0:3:0,0:3:1,180,"Oui oui, yeah.",Dumb and Dumber
40,0:3:1,0:3:4,181,Walk away. Go on. Go on.,Dumb and Dumber
41,0:3:4,0:3:6,184,Last but not least footlong!,Dumb and Dumber
42,0:3:6,0:3:9,186,Who's got the footlong?,Dumb and Dumber
43,0:3:9,0:3:11,189,"There you very funny, rascal.",Dumb and Dumber
44,0:3:12,0:3:14,192,Very funny. In your dreams.,Dumb and Dumber
45,0:3:14,0:3:17,194,"Harry, why haven't you dropped those dogs off at the show yet?",Dumb and Dumber
46,0:3:17,0:3:19,197,"Uh, sir, I didn't want to send them",Dumb and Dumber
47,0:3:19,0:3:21,199,"to a performance on an empty stomach, sir.",Dumb and Dumber
48,0:3:21,0:3:24,201," Get a move on it!  Yes, sir.",Dumb and Dumber
49,0:3:24,0:3:26,204,Mutt cutts. 104.,Dumb and Dumber
50,0:3:46,0:3:47,226,Whew.,Dumb and Dumber
51,0:3:47,0:3:49,227,Suck me sideways.,Dumb and Dumber
52,0:4:2,0:4:6,242,Hello. How are you?,Dumb and Dumber
53,0:4:11,0:4:13,251,I'll be out in one minute.,Dumb and Dumber
54,0:4:43,0:4:45,283,Why are you going to the airport?,Dumb and Dumber
55,0:4:45,0:4:47,285,Flying somewhere?,Dumb and Dumber
56,0:4:47,0:4:48,287,How'd you guess?,Dumb and Dumber
57,0:4:48,0:4:50,288,I saw your luggage.,Dumb and Dumber
58,0:4:50,0:4:52,290,"Then when I noticed the airline ticket,",Dumb and Dumber
59,0:4:52,0:4:54,292,I put two and two together.,Dumb and Dumber
60,0:4:54,0:4:56,294,So where're you headed?,Dumb and Dumber
61,0:4:56,0:4:57,296,Aspen.,Dumb and Dumber
62,0:4:57,0:4:59,297,Mmm... California.,Dumb and Dumber
63,0:4:59,0:5:1,299,Beautiful.,Dumb and Dumber
64,0:5:4,0:5:7,304,"Name's Christmas, Lloyd Christmas.",Dumb and Dumber
65,0:5:7,0:5:9,307,I'm Mary Swanson.,Dumb and Dumber
66,0:5:9,0:5:12,309,"This isn't my real job, you know.",Dumb and Dumber
67,0:5:12,0:5:14,312," No?  Nope, my friend Harry and I",Dumb and Dumber
68,0:5:14,0:5:17,314,are saving up our money to open our own pet store.,Dumb and Dumber
69,0:5:17,0:5:19,317,That's nice.,Dumb and Dumber
70,0:5:20,0:5:23,320, I got worms.  I beg your pardon?,Dumb and Dumber
71,0:5:23,0:5:26,323,That's what we're going to call it I Got Worms.,Dumb and Dumber
72,0:5:26,0:5:29,326,"We're going to specialize in selling worm farms,",Dumb and Dumber
73,0:5:29,0:5:31,329,"you know, like ant farms.",Dumb and Dumber
74,0:5:33,0:5:35,333,What's the matter?,Dumb and Dumber
75,0:5:35,0:5:37,335,A little tense about the flight?,Dumb and Dumber
76,0:5:38,0:5:40,338,Something like that.,Dumb and Dumber
77,0:5:40,0:5:42,340,"There's really nothing to worry about, Mary.",Dumb and Dumber
78,0:5:42,0:5:45,342,"Statistically, they say you're more likely",Dumb and Dumber
79,0:5:45,0:5:47,345,"to get killed on the way to the airport,",Dumb and Dumber
80,0:5:47,0:5:49,347,"you know, like in a headon crash or flying off a cliff",Dumb and Dumber
81,0:5:49,0:5:51,349,or getting trapped under a gas truck,Dumb and Dumber
82,0:5:51,0:5:53,351,That's the worst. I have this cousin,Dumb and Dumber
83,0:5:53,0:5:55,353,"well, I had this cousin.",Dumb and Dumber
84,0:5:55,0:5:58,355,"Lloyd, could you keep your eyes on the road, please?",Dumb and Dumber
85,0:5:58,0:6:0,358,Oh. Yeah.,Dumb and Dumber
86,0:6:0,0:6:2,360,Good thinking.,Dumb and Dumber
87,0:6:2,0:6:4,362,Can't be too careful.,Dumb and Dumber
88,0:6:4,0:6:6,364,A lot of bad drivers out there.,Dumb and Dumber
89,0:6:12,0:6:14,372,"Hey, watch it!",Dumb and Dumber
90,0:6:22,0:6:25,382,"Okay, gang, you know the rules",Dumb and Dumber
91,0:6:25,0:6:27,385,"no humping, no pushing, no sniffing heinies.",Dumb and Dumber
