Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:3:19,0:3:20,199,Hello.,Forrest Gump
1,0:3:21,0:3:24,201,My name's Forrest. Forrest Gump.,Forrest Gump
2,0:3:29,0:3:31,209,Do you want a chocolate?,Forrest Gump
3,0:3:34,0:3:37,214,I could eat about a million and a half of these.,Forrest Gump
4,0:3:38,0:3:44,218,My mama always said life was like a box of chocolates.,Forrest Gump
5,0:3:46,0:3:49,226,You never know what you're gonna get.,Forrest Gump
6,0:3:56,0:3:58,236,Those must be comfortable shoes.,Forrest Gump
7,0:4:0,0:4:4,240,I'll bet you could walk all day in shoes like that and not feel a thing.,Forrest Gump
8,0:4:7,0:4:9,247,I wish I had shoes like that.,Forrest Gump
9,0:4:10,0:4:11,250,My feet hurt.,Forrest Gump
10,0:4:12,0:4:14,252,Mama always said there's an awful lot,Forrest Gump
11,0:4:14,0:4:17,254,you could tell about a person by their shoes:,Forrest Gump
12,0:4:19,0:4:22,259,"Where they're going, where they've been.",Forrest Gump
13,0:4:29,0:4:31,269,I've worn lots of shoes.,Forrest Gump
14,0:4:34,0:4:39,274,"I bet if I think about it real hard, I could remember my first pair of shoes.",Forrest Gump
15,0:4:42,0:4:44,282,Mama said they'd take me anywhere.,Forrest Gump
16,0:4:45,0:4:48,285,She said they was my magic shoes.,Forrest Gump
17,0:4:48,0:4:51,288,"All right, Forrest, you can open your eyes now.",Forrest Gump
18,0:4:58,0:5:1,298,Let's take a little walk around.,Forrest Gump
19,0:5:8,0:5:9,308,How do those feel?,Forrest Gump
20,0:5:12,0:5:14,312,"His legs are strong, Mrs. Gump,",Forrest Gump
21,0:5:15,0:5:17,315,"as strong as I've ever seen,",Forrest Gump
22,0:5:17,0:5:21,317,but his back is as crooked as a politician.,Forrest Gump
23,0:5:22,0:5:25,322,"But we're gonna straighten him right up, now, aren't we, Forrest?",Forrest Gump
24,0:5:25,0:5:26,325,Forrest!,Forrest Gump
25,0:5:28,0:5:29,328,"Now, when I was a baby,",Forrest Gump
26,0:5:29,0:5:32,329,"Mama named me after the great Civil War hero,",Forrest Gump
27,0:5:32,0:5:34,332,General Nathan Bedford Forrest.,Forrest Gump
28,0:5:34,0:5:37,334,She said we was related to him in some way.,Forrest Gump
29,0:5:37,0:5:38,337,"And what he did was,",Forrest Gump
30,0:5:38,0:5:42,338,he started up this club called the Ku Klux Klan.,Forrest Gump
31,0:5:42,0:5:46,342,They'd all dress up in their robes and their bed sheets,Forrest Gump
