Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:0:57,0:1:0,57,The thing I've been asking myself is,Get Out
1,0:1:0,0:1:4,60,what kind of sick individual names a street Edgewood Way,Get Out
2,0:1:4,0:1:7,64,and he put it half a mile away from Edgewood Lane?,Get Out
3,0:1:8,0:1:9,68,Huh?,Get Out
4,0:1:10,0:1:12,70,It's crazy.,Get Out
5,0:1:12,0:1:18,72,"You got me out here in this creepy, confusing ass suburb.",Get Out
6,0:1:20,0:1:25,80,"I'm serious, though. I feel like a sore thumb out here.",Get Out
7,0:1:26,0:1:29,86,"All right, baby. All right, I'll talk to you soon.",Get Out
8,0:1:30,0:1:31,90,See you.,Get Out
9,0:1:32,0:1:35,92,"Okay, so this is Rhine Ave.",Get Out
10,0:1:39,0:1:42,99,It's like a fucking hedge maze out here.,Get Out
11,0:1:45,0:1:46,105,East...,Get Out
12,0:1:47,0:1:51,107,Keep going straight and then I think it said a left on...,Get Out
13,0:1:51,0:1:53,111,What was that? Peacock?,Get Out
14,0:1:54,0:1:58,114,Go straight and a left on...,Get Out
15,0:2:13,0:2:14,133,Okay.,Get Out
16,0:2:15,0:2:16,135,"All right, just keep on walking, bruh.",Get Out
17,0:2:17,0:2:18,137,Don't do nothin' stupid.,Get Out
18,0:2:18,0:2:20,138,Just keep on...,Get Out
19,0:2:22,0:2:25,142,Fuck this. I'mma fucking go the other way I came.,Get Out
20,0:2:26,0:2:28,146,Not today. Not me.,Get Out
21,0:2:29,0:2:33,149,"You know how they like to do motherfuckers out here, man. I'm gone.",Get Out
22,0:2:40,0:2:43,160,"Yo... Come on, brother, this is...",Get Out
23,0:2:43,0:2:45,163,Yo! Yo! Hey!,Get Out
24,0:6:39,0:6:40,399,"Sid, Sid, Sid.",Get Out
25,0:6:41,0:6:42,401,How's it goin' over there?,Get Out
26,0:6:44,0:6:45,404,Good.,Get Out
27,0:6:46,0:6:48,406,You got your toothbrush?,Get Out
28,0:6:48,0:6:49,408,Check.,Get Out
29,0:6:49,0:6:51,409,Do you have your deodorant?,Get Out
30,0:6:52,0:6:53,412,Check.,Get Out
31,0:6:53,0:6:55,413,Do you have your cozy clothes?,Get Out
32,0:6:56,0:6:57,416,Got that.,Get Out
33,0:7:0,0:7:1,420,"Can you give me a minute, Sid?",Get Out
34,0:7:1,0:7:4,421,We gotta pry something out of your dad.,Get Out
35,0:7:8,0:7:9,428,What?,Get Out
36,0:7:16,0:7:19,436,Do they know I'm black?,Get Out
37,0:7:21,0:7:22,441,No.,Get Out
38,0:7:25,0:7:26,445,Should they?,Get Out
39,0:7:28,0:7:34,448,"It seems like it's something you might wanna, you know,",Get Out
40,0:7:36,0:7:37,456,mention.,Get Out
41,0:7:37,0:7:40,457,"""Mom and Dad, my black boyfriend",Get Out
42,0:7:40,0:7:42,460,"""will be coming up this weekend",Get Out
43,0:7:42,0:7:44,462,"""and I just don't want you to be shocked",Get Out
44,0:7:45,0:7:46,465,"""that he's a black man.""",Get Out
45,0:7:48,0:7:50,468,You said I was the first black guy you ever dated.,Get Out
46,0:7:50,0:7:51,470,"Yeah, so what?",Get Out
47,0:7:51,0:7:53,471,"Yeah, so this is uncharted territory for them.",Get Out
48,0:7:53,0:7:56,473,"You know, I don't wanna get chased off the lawn with a shotgun.",Get Out
49,0:7:56,0:7:57,476,"You're not going to. First of all,",Get Out
50,0:7:58,0:8:1,478,my dad would've voted for Obama a third time if he could've.,Get Out
51,0:8:1,0:8:3,481,"Like, the love is so real.",Get Out
52,0:8:3,0:8:5,483,I'm only telling you that 'cause he's definitely,Get Out
53,0:8:5,0:8:6,485,gonna wanna talk to you about that.,Get Out
54,0:8:6,0:8:9,486,And it will definitely fucking suck.,Get Out
55,0:8:9,0:8:13,489,But that's because he's a lame dad more than anything else.,Get Out
56,0:8:14,0:8:15,494,They are not racist.,Get Out
57,0:8:17,0:8:19,497,All right. I would've told you.,Get Out
58,0:8:20,0:8:22,500,I wouldn't be bringing you home to them.,Get Out
59,0:8:22,0:8:24,502,"Yeah, yeah, yeah. Think about that for, like, two seconds.",Get Out
60,0:8:24,0:8:25,504,I'm thinkin'.,Get Out
61,0:8:26,0:8:27,506,"Yeah, yeah, yeah. Good.",Get Out
62,0:8:40,0:8:42,520,"No, no, no.",Get Out
63,0:8:42,0:8:44,522,"Come on, I'm a grown man. No way.",Get Out
64,0:8:44,0:8:45,524,You broke my cigarette.,Get Out
65,0:8:47,0:8:49,527,"Seriously, you just threw it out a window?",Get Out
66,0:8:49,0:8:51,529,Just like a dollar. You basically threw a dollar out the window. Great.,Get Out
67,0:8:51,0:8:53,531,That was a dollar you decided to spend on nicotine.,Get Out
68,0:8:53,0:8:54,533,Yeah. Tobacco.,Get Out
69,0:8:54,0:8:56,534,"Hold on, I gotta call Rod.",Get Out
70,0:8:56,0:8:57,536,"Oh, Rod.",Get Out
71,0:8:58,0:8:59,538,Don't do that.,Get Out
72,0:9:2,0:9:3,542,'Sup?,Get Out
73,0:9:3,0:9:4,543,"Yo, you at work?",Get Out
74,0:9:4,0:9:6,544,"Yeah, yeah, I'm at work.",Get Out
75,0:9:6,0:9:8,546,"Look, Chris, tell me this, okay?",Get Out
76,0:9:8,0:9:10,548,How can I get in trouble,Get Out
77,0:9:10,0:9:14,550,for patting down an old lady? It's standard procedure.,Get Out
78,0:9:14,0:9:16,554,"Gary just think 'cause an elderly bitch is elderly,",Get Out
79,0:9:16,0:9:18,556,she can't hijack no motherfucking plane.,Get Out
80,0:9:18,0:9:20,558,"C, wait, wait, wait. I know you laughin'.",Get Out
81,0:9:20,0:9:21,560,"I'm serious, man. The next 9/11",Get Out
82,0:9:21,0:9:23,561,is gonna be on some geriatric shit.,Get Out
83,0:9:23,0:9:24,563,Straight up.,Get Out
84,0:9:24,0:9:27,564,"Look, man, thanks for looking after Sid this weekend.",Get Out
85,0:9:27,0:9:28,567,"Remember, no human food.",Get Out
86,0:9:29,0:9:30,569,He's got IBS.,Get Out
87,0:9:30,0:9:32,570,"Damn, C. Give me some type of credit.",Get Out
88,0:9:32,0:9:33,572,"Okay, I don't forget shit. You do.",Get Out
89,0:9:34,0:9:35,574,"Yeah, yeah, yeah. All right, all right.",Get Out
90,0:9:35,0:9:38,575,"No, I accept your apology. It's all good.",Get Out
91,0:9:38,0:9:40,578,How Little Miss Rosie doin'?,Get Out
92,0:9:40,0:9:41,580,She's good. She's driving.,Get Out
93,0:9:42,0:9:43,582,Can I talk to him? No.,Get Out
94,0:9:43,0:9:44,583,"I'd like to talk to him, please.",Get Out
95,0:9:45,0:9:46,585,"Hold on, hold on.",Get Out
96,0:9:47,0:9:49,587," Hi, Rod!  Now, look here.",Get Out
97,0:9:49,0:9:50,589,"You know you picked the wrong guy, right?",Get Out
98,0:9:51,0:9:53,591,"Yeah, of course I know that. This is all just a ploy to get to you.",Get Out
99,0:9:54,0:9:55,594,"It's not too late for us. Okay, get your own girl.",Get Out
100,0:9:55,0:9:56,595,Goddamn.,Get Out
101,0:9:56,0:9:58,596,She's all mad at you 'cause you never take my advice.,Get Out
102,0:9:58,0:9:59,598,Like what?,Get Out
103,0:9:59,0:10:1,599,Like don't go to a white girl's parents' house.,Get Out
104,0:10:2,0:10:4,602,What's she doin'? Lickin' your balls or somethin'?,Get Out
105,0:10:4,0:10:6,604,"Yeah, bye. You know what I'm sayin', Chris?",Get Out
106,0:10:7,0:10:8,607,Chris.,Get Out
107,0:10:9,0:10:10,609,Chri...,Get Out
108,0:10:11,0:10:13,611,This motherfucker hung up on me.,Get Out
109,0:10:16,0:10:17,616,You're jealous.,Get Out
110,0:10:17,0:10:19,617,I'm not jealous. I made you jealous?,Get Out
111,0:10:19,0:10:21,619,I'm not jealous of Rod. It's Rod!,Get Out
112,0:10:35,0:10:37,635,Fuck. Are you okay?,Get Out
113,0:10:38,0:10:39,638,"Yeah, that scared the shit outta me.",Get Out
114,0:10:39,0:10:40,639,"You? Yeah, I'm okay.",Get Out
115,0:10:40,0:10:41,640,All right.,Get Out
116,0:10:41,0:10:42,641,"Oh, my God.",Get Out
117,0:10:53,0:10:54,653,Fuck.,Get Out
118,0:11:2,0:11:3,662,Stay here. What?,Get Out
119,0:11:4,0:11:5,664,What are you doing?,Get Out
120,0:11:8,0:11:10,668,I don't know.,Get Out
121,0:11:11,0:11:13,671,"Well, maybe he's gone, you know?",Get Out
122,0:11:19,0:11:20,679,Chris.,Get Out
123,0:12:9,0:12:13,729,"So, in the future, the number to call is Animal Control Services.",Get Out
124,0:12:13,0:12:17,733,Yes. Sorry about that. I was just disoriented.,Get Out
125,0:12:17,0:12:20,737,So you guys coming up from the city?,Get Out
126,0:12:20,0:12:23,740,"Yeah, yeah. My parents are from the Lake Pontaco area.",Get Out
127,0:12:23,0:12:25,743,We're just heading up there for the weekend. Hmm.,Get Out
128,0:12:26,0:12:27,746,"Sir, can I see your license, please?",Get Out
129,0:12:28,0:12:29,748,"Wait, why?",Get Out
130,0:12:29,0:12:31,749,Yeah. I have state ID.,Get Out
131,0:12:31,0:12:33,751,"No, no, no. He wasn't driving.",Get Out
132,0:12:33,0:12:36,753,I didn't ask who was driving. I asked to see his ID.,Get Out
