Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:2:45,0:2:49,165,I'm gonna turn over the next card. I want you to concentrate.,Ghostbusters
1,0:2:50,0:2:52,170,I want you to tell me what you think it is.,Ghostbusters
2,0:2:58,0:2:59,178,Square.,Ghostbusters
3,0:3:0,0:3:2,180,Good guess. But wrong.,Ghostbusters
4,0:3:11,0:3:13,191,Clear your head.,Ghostbusters
5,0:3:15,0:3:18,195,All right. Tell me what you think it is.,Ghostbusters
6,0:3:20,0:3:21,200,Is it a star?,Ghostbusters
7,0:3:22,0:3:26,202,It is a star. Very good. That's great.,Ghostbusters
8,0:3:26,0:3:29,206,Okay. All right.,Ghostbusters
9,0:3:30,0:3:33,210,Think hard. What is it?,Ghostbusters
10,0:3:34,0:3:36,214,Circle.,Ghostbusters
11,0:3:36,0:3:40,216,Close. But definitely wrong.,Ghostbusters
12,0:3:42,0:3:44,222,Okay.,Ghostbusters
13,0:3:45,0:3:48,225, All right. Ready?  Yeah.,Ghostbusters
14,0:3:48,0:3:49,228,All right.,Ghostbusters
15,0:3:51,0:3:53,231,What is it?,Ghostbusters
16,0:3:55,0:3:56,235,Come on.,Ghostbusters
17,0:3:58,0:3:59,238,Figure eight.,Ghostbusters
18,0:4:2,0:4:6,242,"Incredible. That's 5 for 5. You can't see these, can you?",Ghostbusters
19,0:4:6,0:4:10,246," You're not cheating me, are you?  No, I swear they're just coming to me.",Ghostbusters
20,0:4:11,0:4:12,251,Okay.,Ghostbusters
21,0:4:13,0:4:18,253, Nervous?  Yes. I don't like this.,Ghostbusters
22,0:4:18,0:4:23,258,"You only have 75 more to go, okay? What's this one?",Ghostbusters
23,0:4:27,0:4:29,267,It's a couple of wavy lines.,Ghostbusters
24,0:4:29,0:4:33,269, Sorry. This isn't your lucky day.  I know.,Ghostbusters
25,0:4:35,0:4:37,275,Wait...,Ghostbusters
26,0:4:41,0:4:43,281,I'm getting a little tired of this!,Ghostbusters
27,0:4:43,0:4:45,283,"You volunteered, didn't you? We're paying, aren't we?",Ghostbusters
28,0:4:46,0:4:49,286,"Yeah, but I didn't know you were gonna give me electric shocks!",Ghostbusters
29,0:4:49,0:4:51,289,"What are you trying to prove here, anyway?",Ghostbusters
30,0:4:51,0:4:55,291,I'm studying the effect of negative reinforcement on ESP ability.,Ghostbusters
31,0:4:55,0:4:59,295,The effect? I'll tell you what the effect is. It's pissing me off!,Ghostbusters
32,0:4:59,0:5:1,299,"Well, then maybe my theory is correct!",Ghostbusters
33,0:5:1,0:5:5,301," You can keep the 5 bucks. I've had it.  I will, mister!",Ghostbusters
34,0:5:9,0:5:11,309,You may as well get used to that.,Ghostbusters
35,0:5:12,0:5:16,312,It's the kind of resentment that your ability will provoke in some people.,Ghostbusters
36,0:5:17,0:5:20,317,"Do you think I have it, Dr. Venkman?",Ghostbusters
37,0:5:21,0:5:24,321,"You're no fluke, Jennifer.",Ghostbusters
38,0:5:24,0:5:26,324,This is it. This is definitely it!,Ghostbusters
39,0:5:26,0:5:29,326,Did those UV lenses come in for the video camera?,Ghostbusters
40,0:5:29,0:5:32,329,"And that blank tape, I need it, the one you erased yesterday.",Ghostbusters
41,0:5:33,0:5:36,333, Will you excuse me for a second?  Sure.,Ghostbusters
42,0:5:37,0:5:40,337,"I'm right in the middle of something, Ray.",Ghostbusters
43,0:5:41,0:5:42,341,I need more time with this subject.,Ghostbusters
44,0:5:42,0:5:45,342,"Could you come back in an hour, hour and a half?",Ghostbusters
45,0:5:45,0:5:47,345,"Peter, at 1:40 p. M...",Ghostbusters
46,0:5:47,0:5:51,347,...at the main branch of The New York Public Library on Fifth Avenue...,Ghostbusters
47,0:5:51,0:5:56,351,"...10 people witnessed a freefloating, fulltorso, vaporous apparition.",Ghostbusters
48,0:5:56,0:5:58,356,It blew books off shelves from 20 feet away...,Ghostbusters
49,0:5:58,0:6:0,358,...and scared the socks off some poor librarian.,Ghostbusters
50,0:6:1,0:6:3,361,I'm very excited. I'm very pleased.,Ghostbusters
51,0:6:3,0:6:7,363,"I want you to get right down there, check it out, and get back to me.",Ghostbusters
52,0:6:7,0:6:10,367,You're coming with us on this one. Spengler went down there.,Ghostbusters
53,0:6:10,0:6:13,370,"He took PKE valences, went right off the top of the scale.",Ghostbusters
54,0:6:13,0:6:18,373,Buried the needle. We're close on this one. I can feel it.,Ghostbusters
55,0:6:20,0:6:24,380,"I can feel it. We're very, very close.",Ghostbusters
56,0:6:26,0:6:29,386,"I have to go now, Jennifer, but I'd like to work with you some more.",Ghostbusters
57,0:6:30,0:6:32,390,Perhaps you could come back this evening at...?,Ghostbusters
58,0:6:32,0:6:33,392,Eight o'clock?,Ghostbusters
59,0:6:33,0:6:38,393,"I was just going to say, ""8:00?"" You are a legitimate phenomenon.",Ghostbusters
60,0:6:41,0:6:43,401,"As a friend, I must say...",Ghostbusters
61,0:6:43,0:6:46,403,...you've finally gone around the bend on this ghost business.,Ghostbusters
62,0:6:46,0:6:49,406,You guys have been meeting every schizo in the five boroughs...,Ghostbusters
63,0:6:49,0:6:52,409,...who says he has a paranormal experience. What have you seen?,Ghostbusters
64,0:6:53,0:6:58,413,"You forget, I was there at an undersea, unexplained mass sponge migration.",Ghostbusters
65,0:6:58,0:7:3,418,"Oh, Ray, the sponges migrated about a foot and a half.",Ghostbusters
66,0:7:9,0:7:11,429," You're here.  Yeah, what have you got?",Ghostbusters
67,0:7:11,0:7:14,431,"This is big, this is very big. There's definitely something here.",Ghostbusters
68,0:7:14,0:7:18,434,"Egon, this reminds me of the time you tried to drill a hole through your head.",Ghostbusters
69,0:7:18,0:7:20,438, Remember that?  That would've worked if...,Ghostbusters
70,0:7:20,0:7:23,440,I'm Roger Delacorte. Are you the men from the university?,Ghostbusters
71,0:7:23,0:7:27,443,Yes. I'm Dr. Venkman. Dr. Stantz. Egon.,Ghostbusters
72,0:7:27,0:7:31,447,Thank you for coming. I hope we can clear this up quickly and quietly.,Ghostbusters
73,0:7:31,0:7:36,451,Let's not rush things. We don't even know what you have yet.,Ghostbusters
74,0:7:36,0:7:38,456,I don't remember seeing any legs...,Ghostbusters
75,0:7:38,0:7:42,458,"...but it definitely had arms, because it reached out for me.",Ghostbusters
76,0:7:42,0:7:44,462,Arms? I can't wait to get a look at this.,Ghostbusters
77,0:7:44,0:7:47,464,"Alice, I'll ask you a couple of standard questions, okay?",Ghostbusters
78,0:7:47,0:7:49,467,Have you or any member of your family...,Ghostbusters
79,0:7:49,0:7:54,469,"...ever been diagnosed schizophrenic, mentally incompetent?",Ghostbusters
