Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:1:19,0:1:21,79,"Sure I won't get in trouble, Bill?",IT
1,0:1:22,0:1:24,82,Don't be a wuss.,IT
2,0:1:24,0:1:28,84,I'd come with you if I weren't dying.,IT
3,0:1:29,0:1:30,89,You're not dying!,IT
4,0:1:31,0:1:34,91,You didn't see the vomit coming out of my nose this morning?,IT
5,0:1:34,0:1:37,94,That's disgusting.,IT
6,0:1:38,0:1:40,98,Okay. Go get the wax.,IT
7,0:1:42,0:1:43,102,In the cellar?,IT
8,0:1:44,0:1:46,104,"You want it to float, don't you?",IT
9,0:1:47,0:1:48,107,Fine.,IT
10,0:2:48,0:2:49,168,Georgie.,IT
11,0:2:50,0:2:51,170,Hurry up.,IT
12,0:2:58,0:3:1,178,Okay. I'm brave.,IT
13,0:3:21,0:3:23,201,Where's the wax?,IT
14,0:3:25,0:3:26,205,There's the wax.,IT
15,0:3:27,0:3:28,207,Yes.,IT
16,0:3:48,0:3:50,228,What was that? What's that?,IT
17,0:3:51,0:3:52,231,"Oh, jeez.",IT
18,0:4:11,0:4:12,251,All right.,IT
19,0:4:13,0:4:15,253,There you go.,IT
20,0:4:15,0:4:17,255,"She's all ready, Captain.",IT
21,0:4:17,0:4:18,257,She?,IT
22,0:4:18,0:4:21,258,"You always call boats ""she.""",IT
23,0:4:22,0:4:23,262,"""She.""",IT
24,0:4:23,0:4:25,263,"Thanks, Billy.",IT
25,0:4:33,0:4:35,273,See you later. Bye.,IT
26,0:5:2,0:5:3,302,Be careful.,IT
27,0:5:52,0:5:53,352,No!,IT
28,0:5:55,0:5:56,355,No!,IT
29,0:5:58,0:5:59,358,"Oh, Bill's gonna kill me.",IT
30,0:6:9,0:6:11,369,"Hiya, Georgie.",IT
31,0:6:14,0:6:15,374,What a nice boat.,IT
32,0:6:16,0:6:17,376,Do you want it back?,IT
33,0:6:18,0:6:20,378,"Um, yes, please.",IT
34,0:6:20,0:6:23,380,You look like a nice boy. I bet you have a lot of friends.,IT
35,0:6:25,0:6:27,385,"Three, but my brother's my best best.",IT
36,0:6:27,0:6:29,387,Where is he?,IT
37,0:6:29,0:6:31,389,In bed. Sick.,IT
38,0:6:31,0:6:35,391,I bet I can cheer him up. I'll give him a balloon.,IT
39,0:6:37,0:6:39,397,"Do you want a balloon too, Georgie?",IT
40,0:6:40,0:6:43,400,I'm not supposed to take stuff from strangers.,IT
41,0:6:44,0:6:48,404,"Oh... Well, I'm Pennywise the Dancing Clown.",IT
42,0:6:50,0:6:53,410,"""Pennywise?"" ""Yes."" ""Meet Georgie.",IT
43,0:6:54,0:6:56,414,"""Georgie, meet Pennywise.""",IT
