Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:0:20,0:0:22,20,My name is Max.,Mad Max Fury Road
1,0:0:22,0:0:26,22,My world is fire and blood.,Mad Max Fury Road
2,0:0:26,0:0:27,26,Why are you hurting these people?,Mad Max Fury Road
3,0:0:27,0:0:30,27," It's the oil, stupid.  Oil wars.",Mad Max Fury Road
4,0:0:30,0:0:32,30,We are killing for guzzoline.,Mad Max Fury Road
5,0:0:32,0:0:34,32,The world is actually running out of water.,Mad Max Fury Road
6,0:0:34,0:0:37,34,Now there's the water wars.,Mad Max Fury Road
7,0:0:37,0:0:40,37,"Once, I was a cop,",Mad Max Fury Road
8,0:0:40,0:0:43,40,a road warrior searching for a righteous cause.,Mad Max Fury Road
9,0:0:43,0:0:44,43,...to the terminal freakout point.,Mad Max Fury Road
10,0:0:45,0:0:48,45,"Mankind has gone rogue, terrorizing itself.",Mad Max Fury Road
11,0:0:48,0:0:49,48,Thermonuclear skirmish.,Mad Max Fury Road
12,0:0:49,0:0:52,49, The earth is sour.  Our bones are poisoned.,Mad Max Fury Road
13,0:0:52,0:0:55,52,We have become halflife.,Mad Max Fury Road
14,0:0:55,0:1:1,55,"As the world fell, each of us, in our own way, was broken.",Mad Max Fury Road
15,0:1:1,0:1:4,61,It was hard to know who was more crazy...,Mad Max Fury Road
16,0:1:6,0:1:10,66,me or everyone else.,Mad Max Fury Road
17,0:1:12,0:1:14,72,Hello?,Mad Max Fury Road
18,0:1:16,0:1:18,76,Where are you?,Mad Max Fury Road
19,0:1:25,0:1:26,85,"Where are you, Max?",Mad Max Fury Road
20,0:1:26,0:1:28,86, Here they come again.  Max Rockatansky.,Mad Max Fury Road
21,0:1:28,0:1:32,88,Worming their way into the black matter of my brain.,Mad Max Fury Road
22,0:1:32,0:1:34,92," Help us, Max.  You promised to help us.",Mad Max Fury Road
23,0:1:38,0:1:42,98,I tell myself... they cannot touch me.,Mad Max Fury Road
24,0:1:44,0:1:46,104,They are long dead.,Mad Max Fury Road
25,0:2:18,0:2:20,138,After him!,Mad Max Fury Road
26,0:2:21,0:2:24,141,After him!,Mad Max Fury Road
27,0:2:28,0:2:30,148,Now!,Mad Max Fury Road
28,0:2:44,0:2:49,164,"I am the one who runs from both the living and the dead,",Mad Max Fury Road
29,0:2:49,0:2:52,169,"hunted by scavengers,",Mad Max Fury Road
30,0:2:52,0:2:55,172,haunted by those I could not protect.,Mad Max Fury Road
31,0:3:5,0:3:8,185,So I exist in this wasteland.,Mad Max Fury Road
32,0:3:12,0:3:17,192,A man reduced to a single instinct...,Mad Max Fury Road
33,0:3:17,0:3:19,197,survive.,Mad Max Fury Road
34,0:4:38,0:4:42,278,Max? Is that you? Where were you?,Mad Max Fury Road
35,0:4:45,0:4:48,285,"Help us. Where were you? Help us, Max. Where were you, Max?",Mad Max Fury Road
36,0:5:5,0:5:7,305,"Stop running, Max. Stop running.",Mad Max Fury Road
37,0:5:8,0:5:9,308,You let us die.,Mad Max Fury Road
38,0:5:11,0:5:12,311,You let us die!,Mad Max Fury Road
39,0:5:12,0:5:14,312,You let us die!,Mad Max Fury Road
40,0:5:14,0:5:16,314,You promised to help us.,Mad Max Fury Road
41,0:5:35,0:5:38,335,Witness!,Mad Max Fury Road
42,0:6:30,0:6:33,390, We are War Boys!  War Boys!,Mad Max Fury Road
43,0:6:33,0:6:36,393, Kamakrazee War Boys!  War Boys!,Mad Max Fury Road
44,0:6:36,0:6:40,396,Fucacima Kamakrazee War Boys!,Mad Max Fury Road
45,0:6:40,0:6:42,400,Hooked on!,Mad Max Fury Road
