Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:2:59,0:3:0,179,Goddamn bugs.,Men In Black
1,0:3:20,0:3:22,200,"Oh, shit!",Men In Black
2,0:3:27,0:3:28,207,"Oh, crap.",Men In Black
3,0:3:41,0:3:43,221,"Well, Nick the Dick. What a surprise.",Men In Black
4,0:3:43,0:3:45,223,Where you coming from?,Men In Black
5,0:3:45,0:3:47,225,Fishing in Cuernavaca.,Men In Black
6,0:3:48,0:3:50,228,Sure. Let's take a look at your catch.,Men In Black
7,0:3:51,0:3:53,231,Come on.,Men In Black
8,0:4:0,0:4:2,240,I would've thrown them back.,Men In Black
9,0:4:8,0:4:11,248,What do you get? 100 bucks a head? 200?,Men In Black
10,0:4:11,0:4:15,251,Hope you saved it all for your lawyer. You'll need it.,Men In Black
11,0:4:20,0:4:21,260,We'll take it from here.,Men In Black
12,0:4:21,0:4:23,261,Who the hell are you?,Men In Black
13,0:4:23,0:4:24,263,"INS, Division 6.",Men In Black
14,0:4:24,0:4:27,264,Division 6? I never heard of Division 6.,Men In Black
15,0:4:27,0:4:28,267,Really?,Men In Black
16,0:4:29,0:4:31,269,Who you betting on?,Men In Black
17,0:4:31,0:4:33,271,"Tough call, Kay.",Men In Black
18,0:5:8,0:5:10,308,We've got a winner here.,Men In Black
19,0:5:10,0:5:12,310,"Oh, I know.",Men In Black
20,0:5:19,0:5:20,319,"Sir, you can't...",Men In Black
21,0:5:20,0:5:21,320,"Don't ""sir"" me, young man.",Men In Black
22,0:5:21,0:5:24,321,You have no idea who you're dealing with.,Men In Black
23,0:5:30,0:5:33,330,We'll chat with our friend. You hit the road.,Men In Black
24,0:5:34,0:5:37,334,Keep on protecting us from the dangerous aliens.,Men In Black
25,0:5:42,0:5:44,342,You ever hear of Division 6?,Men In Black
26,0:5:44,0:5:46,344,There is no Division 6.,Men In Black
27,0:5:46,0:5:48,346,This is bullshit.,Men In Black
28,0:5:48,0:5:49,348,"Hell, yeah.",Men In Black
29,0:5:50,0:5:54,350,Looks like you fell off the bus in the wrong part of town.,Men In Black
30,0:5:54,0:5:57,354,I'll bet you're not from anywhere near here.,Men In Black
31,0:6:0,0:6:2,360,Mikey?,Men In Black
32,0:6:9,0:6:11,369,"Mikey, when they let you out of jail?",Men In Black
33,0:6:13,0:6:14,373,Political refugee.,Men In Black
34,0:6:14,0:6:17,374,You know how many treaties you just violated?,Men In Black
35,0:6:18,0:6:20,378, One?  Try seven.,Men In Black
36,0:6:22,0:6:24,382,You hand me that head.,Men In Black
37,0:6:30,0:6:32,390,Put up your arms and flippers.,Men In Black
38,0:6:43,0:6:45,403,Shit!,Men In Black
39,0:6:49,0:6:50,409,Shoot him!,Men In Black
40,0:7:21,0:7:23,441," ""That"".  That....",Men In Black
41,0:7:25,0:7:28,445,Was not human. I know. You got some entrails on you.,Men In Black
42,0:7:30,0:7:31,450,What the hell?,Men In Black
43,0:7:31,0:7:33,451,The situation's under control.,Men In Black
44,0:7:33,0:7:35,453,Give me your attention for a moment.,Men In Black
45,0:7:35,0:7:38,455,I'll tell you what happened.,Men In Black
46,0:7:46,0:7:50,466,This is called a neuralizer. It's a gift from friends from out of town.,Men In Black
47,0:7:51,0:7:53,471,This red eye isolates...,Men In Black
48,0:7:53,0:7:57,473,"the brain's impulses, specifically the ones for memory.",Men In Black
49,0:7:57,0:7:59,477,Give me a splay burn on the perimeter...,Men In Black
50,0:7:59,0:8:2,479,"with holes at 40, 60, and 80 metres...",Men In Black
51,0:8:2,0:8:4,482,from right here. Thank you.,Men In Black
52,0:8:9,0:8:11,489,That's good.,Men In Black
53,0:8:11,0:8:12,491,What's going on?,Men In Black
54,0:8:13,0:8:14,493,Excellent question.,Men In Black
55,0:8:14,0:8:17,494,The answer you're looking for lies right here.,Men In Black
56,0:8:20,0:8:21,500,"Who are you, really?",Men In Black
57,0:8:22,0:8:23,502,Really?,Men In Black
58,0:8:24,0:8:26,504,I am just a figment of your imagination.,Men In Black
59,0:8:31,0:8:33,511,"Damn, what a gullible breed.",Men In Black
60,0:8:35,0:8:38,515,I'm serious. You're lucky to be alive after that blast.,Men In Black
61,0:8:38,0:8:39,518,What blast?,Men In Black
62,0:8:39,0:8:41,519,The underground gas main.,Men In Black
63,0:8:41,0:8:44,521,You should exercise caution before firing...,Men In Black
64,0:8:44,0:8:46,524,I'll tell you that now. Especially you.,Men In Black
65,0:8:48,0:8:51,528,Have yourself checked out with EMS before you leave.,Men In Black
66,0:9:3,0:9:5,543,I'm sorry about back there.,Men In Black
67,0:9:5,0:9:7,545,It happens.,Men In Black
68,0:9:7,0:9:8,547,Didn't used to.,Men In Black
69,0:9:10,0:9:12,550,"The spirit's willing, Kay...",Men In Black
70,0:9:14,0:9:16,554,but the rest of me....,Men In Black
71,0:9:19,0:9:21,559,"They're beautiful, aren't they?",Men In Black
72,0:9:21,0:9:23,561,The stars.,Men In Black
73,0:9:24,0:9:26,564,We neverjust look anymore.,Men In Black
74,0:9:32,0:9:34,572,"I'll tell you, Kay...",Men In Black
75,0:9:34,0:9:36,574,I will miss the chase.,Men In Black
76,0:9:42,0:9:43,582,"No, Dee...",Men In Black
77,0:9:44,0:9:45,584,you won't.,Men In Black
78,0:9:47,0:9:48,587,Freeze!,Men In Black
79,0:9:48,0:9:50,588,NYPD! Freeze!,Men In Black
80,0:9:52,0:9:54,592,"All yours, Edwards.",Men In Black
81,0:9:55,0:9:57,595,Freeze means stop!,Men In Black
82,0:10:4,0:10:5,604,What the hell?!,Men In Black
83,0:10:14,0:10:17,614,It just be raining black people in New York.,Men In Black
84,0:10:42,0:10:43,642,Do you see this?,Men In Black
85,0:10:43,0:10:45,643,NYPD!,Men In Black
86,0:10:46,0:10:48,646,Means I will knock your punkass down!,Men In Black
87,0:10:48,0:10:50,648,He's coming!,Men In Black
88,0:10:50,0:10:53,650,"Yeah, and when he gets here, I'll arrest his ass too.",Men In Black
