Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:0:24,0:0:26,24,It scares us just thinking about it.,The Conjuring
1,0:0:26,0:0:28,26,"When you hear it, you're gonna think we 're insane.",The Conjuring
2,0:0:28,0:0:31,28,"Try us. Please, from the start.",The Conjuring
3,0:0:33,0:0:38,33,"It started out small, like a hand or a leg was in a different position.",The Conjuring
4,0:0:39,0:0:41,39,Then its head was looking up instead of down.,The Conjuring
5,0:0:41,0:0:44,41,"And then one day, it was in a completely different room.",The Conjuring
6,0:0:44,0:0:46,44,It was moving around by itself.,The Conjuring
7,0:0:46,0:0:50,46,Ever think maybe somebody had a key to your apartment and was playing a trick?,The Conjuring
8,0:0:50,0:0:52,50,That's exactly what we thought.,The Conjuring
9,0:0:53,0:0:55,53,But never once did we find any sign or evidence of intrusion.,The Conjuring
10,0:0:55,0:0:58,55,And this all led you to believe that the doll was possessed?,The Conjuring
11,0:0:58,0:1:0,58,Yes.,The Conjuring
12,0:1:0,0:1:4,60,Camilla got in touch with a medium. We learned from her that a 7yearold girl...,The Conjuring
13,0:1:4,0:1:7,64,...named Annabelle Higgins had died in this apartment.,The Conjuring
14,0:1:7,0:1:11,67,She was lonely and took a liking to my doll.,The Conjuring
15,0:1:11,0:1:13,71,All she wanted was to be friends.,The Conjuring
16,0:1:13,0:1:16,73,"When we heard this, we felt really sorry for her.",The Conjuring
17,0:1:16,0:1:19,76,"I mean, we're nurses, we help people.",The Conjuring
18,0:1:19,0:1:20,79,So...,The Conjuring
19,0:1:21,0:1:24,81,...we gave her permission to move into the doll.,The Conjuring
20,0:1:24,0:1:26,84,"Wait, you did what?",The Conjuring
21,0:1:26,0:1:29,86,She wanted to live with us by inhabiting the doll.,The Conjuring
22,0:1:29,0:1:30,89,We said yes.,The Conjuring
23,0:1:30,0:1:33,90,But then things got worse.,The Conjuring
24,0:1:47,0:1:48,107,God.,The Conjuring
25,0:1:51,0:1:54,111,"When we came home, she was sitting in the hallway.",The Conjuring
26,0:1:54,0:1:56,114,But we had left her in the spare room.,The Conjuring
