Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:1:1,0:1:2,61,I think it's our tradition.,The Hunger Games
1,0:1:2,0:1:6,62,It comes out of a particularly painful part of our history.,The Hunger Games
2,0:1:6,0:1:7,66,"Yes, yes.",The Hunger Games
3,0:1:7,0:1:10,67,But it's been the way we've been able to heal.,The Hunger Games
4,0:1:10,0:1:12,70,"At first, it was a reminder of the rebellion.",The Hunger Games
5,0:1:12,0:1:15,72, It was a price the districts had to pay.  Yes.,The Hunger Games
6,0:1:15,0:1:17,75,But I think it has grown from that.,The Hunger Games
7,0:1:17,0:1:21,77,I think it's something that knits us all together.,The Hunger Games
8,0:1:23,0:1:25,83,This is your third year as Gamemaker.,The Hunger Games
9,0:1:27,0:1:30,87,What defines your personal signature?,The Hunger Games
10,0:1:32,0:1:34,92,No! No!,The Hunger Games
11,0:1:36,0:1:41,96,It's okay. It's okay. You were just dreaming.,The Hunger Games
12,0:1:43,0:1:44,103,It was me.,The Hunger Games
13,0:1:45,0:1:48,105,I know. I know. But it's not.,The Hunger Games
14,0:1:49,0:1:52,109,"It's your first year, Prim. Your name's only been in there once.",The Hunger Games
15,0:1:52,0:1:54,112,They're not gonna pick you.,The Hunger Games
16,0:1:54,0:1:56,114,Try to go to sleep.,The Hunger Games
17,0:1:56,0:1:57,116,I can't.,The Hunger Games
18,0:1:58,0:2:1,118,Just try. Just try.,The Hunger Games
19,0:2:4,0:2:7,124,Mmmhmm.,The Hunger Games
20,0:2:12,0:2:16,132,Deep in the meadow.,The Hunger Games
21,0:2:17,0:2:20,137,Under the willow,The Hunger Games
22,0:2:21,0:2:25,141,A bed of grass.,The Hunger Games
23,0:2:25,0:2:29,145,A soft green pillow.,The Hunger Games
24,0:2:30,0:2:33,150,You remember that song? Okay.,The Hunger Games
25,0:2:34,0:2:36,154,You finish it. I've got to go.,The Hunger Games
26,0:2:36,0:2:37,156,Where?,The Hunger Games
27,0:2:38,0:2:39,158,I've just got to go.,The Hunger Games
28,0:2:39,0:2:42,159,But I'll be back. I love you,The Hunger Games
29,0:2:51,0:2:52,171,I'll still cook you.,The Hunger Games
30,0:5:3,0:5:5,303,What are you gonna do with that when you kill it?,The Hunger Games
31,0:5:7,0:5:10,307,"Damn you, Gale! It's not funny!",The Hunger Games
32,0:5:10,0:5:13,310,"What are you gonna do with a 100pound deer, Catnip?",The Hunger Games
33,0:5:13,0:5:16,313,It's Reaping Day. The place is crawling with Peacekeepers.,The Hunger Games
34,0:5:16,0:5:19,316,I was gonna sell it to some Peacekeepers.,The Hunger Games
35,0:5:19,0:5:20,319,Of course you were.,The Hunger Games
36,0:5:20,0:5:22,320,Like you don't sell to Peacekeepers.,The Hunger Games
37,0:5:22,0:5:23,322,No. Not today.,The Hunger Games
38,0:5:23,0:5:26,323,It was the first deerl've seen in a year. Now I have nothing.,The Hunger Games
39,0:5:26,0:5:27,326,Okay.,The Hunger Games
40,0:6:18,0:6:21,378,What if they did? Just one year. What if everyone just stopped watching?,The Hunger Games
41,0:6:21,0:6:23,381," They won't, Gale.  What if they did? What if we did?",The Hunger Games
42,0:6:23,0:6:25,383,Won't happen.,The Hunger Games
43,0:6:25,0:6:27,385,You root for your favorites. You cry when they get killed.,The Hunger Games
44,0:6:27,0:6:28,387, It's sick.  Gale.,The Hunger Games
45,0:6:28,0:6:30,388,"If no one watches, then they don't have a game.",The Hunger Games
46,0:6:31,0:6:32,391,It's as simple as that.,The Hunger Games
47,0:6:32,0:6:34,392, What?  Nothing.,The Hunger Games
48,0:6:35,0:6:38,395, Fine. Laugh at me.  I'm not laughing at you.,The Hunger Games
49,0:6:44,0:6:46,404,"We could do it, you know?",The Hunger Games
