Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:0:49,0:0:52,49," Is everything in place?  You weren't supposed to relieve me,",The Matrix
1,0:0:52,0:0:55,52,"I know, but I felt like taking a shift,",The Matrix
2,0:0:55,0:0:58,55,"You like him, don't you? You like watching him,",The Matrix
3,0:0:58,0:1:1,58," Don't be ridiculous,  We're gonna kill him, You understand?",The Matrix
4,0:1:1,0:1:4,61,"Morpheus believes he is the One,",The Matrix
5,0:1:4,0:1:7,64," Do you?  It doesn't matter what I believe,",The Matrix
6,0:1:7,0:1:9,67,"You don't, do you?",The Matrix
7,0:1:9,0:1:11,69, Did you hear that?  Hear what?,The Matrix
8,0:1:11,0:1:13,71,Are you sure this line is clean?,The Matrix
9,0:1:13,0:1:15,73,"Yeah, of course I'm sure,",The Matrix
10,0:1:16,0:1:17,76,"I better go,",The Matrix
11,0:1:55,0:1:57,115, Freeze! Police!  Hands on your head!,The Matrix
12,0:1:57,0:1:59,117,Do it! Do it now!,The Matrix
13,0:2:20,0:2:21,140,Lieutenant.,The Matrix
14,0:2:21,0:2:23,141,"Oh, shit.",The Matrix
15,0:2:23,0:2:27,143,"Lieutenant, you were given specific orders.",The Matrix
16,0:2:27,0:2:29,147,I'm just doing my job.,The Matrix
17,0:2:29,0:2:34,149,"You give me that ""jurismydicktion"" crap, you can cram it up your ass.",The Matrix
18,0:2:34,0:2:37,154,The orders were for your protection.,The Matrix
19,0:2:38,0:2:40,158,I think we can handle one little girl.,The Matrix
20,0:2:45,0:2:47,165,I sent two units!,The Matrix
21,0:2:47,0:2:49,167,They're bringing her down now!,The Matrix
22,0:2:49,0:2:52,169,"No, Lieutenant, your men are already dead.",The Matrix
23,0:3:21,0:3:23,201,Shit.,The Matrix
24,0:3:25,0:3:28,205,"Morpheus, the line was traced. I don't know how.",The Matrix
25,0:3:28,0:3:29,208,"I know, They cut the hard line,",The Matrix
26,0:3:30,0:3:32,210,"There's no time, Get to another exit,",The Matrix
27,0:3:32,0:3:34,212," Are there any agents?  Yes,",The Matrix
28,0:3:35,0:3:36,215,Goddamn it.,The Matrix
29,0:3:36,0:3:38,216,"You have to focus, Trinity,",The Matrix
30,0:3:38,0:3:40,218,"There's a phone at Wells and Lake,",The Matrix
31,0:3:41,0:3:42,221,"You can make it,",The Matrix
32,0:3:43,0:3:44,223," All right.  Go,",The Matrix
33,0:4:46,0:4:47,286,That's impossible.,The Matrix
34,0:5:22,0:5:24,322,"Get up, Trinity. Just get up.",The Matrix
35,0:5:25,0:5:26,325,Get up.,The Matrix
36,0:6:12,0:6:14,372,She got out.,The Matrix
37,0:6:14,0:6:15,374,It doesn't matter.,The Matrix
38,0:6:15,0:6:18,375,The informant is real.,The Matrix
39,0:6:19,0:6:21,379,We have the name of their next target.,The Matrix
40,0:6:21,0:6:22,381,The name is Neo.,The Matrix
41,0:6:26,0:6:27,386,We'll need a search running.,The Matrix
42,0:6:28,0:6:29,388,It has already begun.,The Matrix
43,0:7:24,0:7:25,444,What?,The Matrix
44,0:7:31,0:7:33,451,What the hell?,The Matrix
45,0:7:40,0:7:42,460,"""Follow the white rabbit.""",The Matrix
46,0:7:54,0:7:55,474,Who is it?,The Matrix
47,0:7:56,0:7:57,476,It's Choi.,The Matrix
48,0:8:10,0:8:12,490,You're two hours late.,The Matrix
49,0:8:12,0:8:14,492,I know. It's her fault.,The Matrix
