Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:1:49,0:1:52,109,If I spoke about it...,The Shape Of Water
1,0:1:52,0:1:53,112,If I did...,The Shape Of Water
2,0:1:54,0:1:57,114,what would I tell you?,The Shape Of Water
3,0:1:57,0:1:58,117,I wonder.,The Shape Of Water
4,0:2:0,0:2:2,120,Would I tell you about the time?,The Shape Of Water
5,0:2:2,0:2:5,122,"It happened a long time ago, it seems...",The Shape Of Water
6,0:2:5,0:2:8,125,in the last days of a fair prince's reign.,The Shape Of Water
7,0:2:10,0:2:12,130,Or would I tell you about the place?,The Shape Of Water
8,0:2:13,0:2:16,133,A small city near the coast...,The Shape Of Water
9,0:2:16,0:2:18,136,but far from everything else.,The Shape Of Water
10,0:2:22,0:2:24,142,"Or, I don't know.",The Shape Of Water
11,0:2:25,0:2:27,145,Would I tell you about her?,The Shape Of Water
12,0:2:28,0:2:31,148,The princess without voice.,The Shape Of Water
13,0:2:33,0:2:35,153,Or perhaps I would just warn you,The Shape Of Water
14,0:2:35,0:2:37,155,about the truth of these facts...,The Shape Of Water
15,0:2:39,0:2:41,159,and the tale of love and loss...,The Shape Of Water
16,0:2:42,0:2:47,162,and the monster who tried to destroy it all.,The Shape Of Water
17,0:3:41,0:3:42,221,My Lord Hedak.,The Shape Of Water
18,0:3:42,0:3:46,222,"So, you are troubled. Tell me.",The Shape Of Water
19,0:3:49,0:3:51,229,I've...,The Shape Of Water
20,0:3:51,0:3:54,231,I have sinned. I've offended the god.,The Shape Of Water
21,0:3:54,0:3:56,234,"I am deep in sin, my Lord Hedak.",The Shape Of Water
22,0:3:56,0:3:58,236,Let me judge of that.,The Shape Of Water
23,0:4:0,0:4:3,240,I've doubted the ceremony of the sacrifice.,The Shape Of Water
24,0:5:22,0:5:24,322,I don't want to go up there.,The Shape Of Water
25,0:5:24,0:5:27,324,"Why, everybody's got to go upstairs, Miss Lloyd,",The Shape Of Water
26,0:5:27,0:5:29,327,if they wants to go to bed.,The Shape Of Water
27,0:5:29,0:5:33,329,The sirens wake you up? There was a fire.,The Shape Of Water
28,0:5:33,0:5:35,333,The chocolate factory.,The Shape Of Water
29,0:5:37,0:5:38,337,Do you smell that?,The Shape Of Water
30,0:5:38,0:5:40,338,"Oh, my!",The Shape Of Water
31,0:5:40,0:5:41,340,Toasted cocoa.,The Shape Of Water
32,0:5:42,0:5:45,342,"Tragedy and delight, hand in hand.",The Shape Of Water
