Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:1:16,0:1:18,76,"Well, come on!",The Theory Of Everything
1,0:1:19,0:1:20,79,"Come on, old man!",The Theory Of Everything
2,0:1:21,0:1:23,81,Coming into Trinity Lane.,The Theory Of Everything
3,0:1:25,0:1:27,85,"Eyes on the road, Brian!",The Theory Of Everything
4,0:1:31,0:1:33,91,Brian spies an opening!,The Theory Of Everything
5,0:1:34,0:1:37,94,Eyes on the staff! Hawking's lost it!,The Theory Of Everything
6,0:1:43,0:1:44,103,No!,The Theory Of Everything
7,0:1:44,0:1:46,104,"You lose, Brian.",The Theory Of Everything
8,0:1:52,0:1:55,112,"Too slow, old man. Too slow.",The Theory Of Everything
9,0:1:56,0:1:58,116," Oh, my goodness.  Right.",The Theory Of Everything
10,0:1:58,0:2:0,118,Time for a drink.,The Theory Of Everything
11,0:2:1,0:2:2,121,Hello.,The Theory Of Everything
12,0:2:3,0:2:5,123,Oopah!,The Theory Of Everything
13,0:2:7,0:2:10,127,What if the secret of the universe had something to do with sex?,The Theory Of Everything
14,0:2:10,0:2:13,130,Maybe do your doctorate on that. The physics of love.,The Theory Of Everything
15,0:2:13,0:2:16,133," I think that's more your field, Brian.  Oh, not lately.",The Theory Of Everything
16,0:2:16,0:2:18,136,"They will boot you out, you know, if you don't decide.",The Theory Of Everything
17,0:2:19,0:2:21,139,I know everyone here who's...,The Theory Of Everything
18,0:2:21,0:2:23,141,Brilliant.,The Theory Of Everything
19,0:2:23,0:2:25,143,"Oh, dear. Scientists.",The Theory Of Everything
20,0:2:26,0:2:28,146, Yes.  You made it.,The Theory Of Everything
21,0:2:29,0:2:32,149,"Don't worry, we don't have to stay for long. Looks mortifyingly dull.",The Theory Of Everything
22,0:2:38,0:2:40,158, Bores.  Who's that?,The Theory Of Everything
23,0:2:40,0:2:42,160,Who's who?,The Theory Of Everything
24,0:2:42,0:2:43,162,"Oh, him?",The Theory Of Everything
25,0:2:44,0:2:49,164,"He's strange. Clever. Goes to ""Ban the Bomb"" marches.",The Theory Of Everything
26,0:2:50,0:2:53,170,Wilde. Jane Wilde.,The Theory Of Everything
27,0:2:53,0:2:55,173,"Oh, look, there's David. David!",The Theory Of Everything
28,0:2:55,0:2:58,175, I'll be back in a minute.  Diana! Diana!,The Theory Of Everything
29,0:3:14,0:3:16,194, Hello.  Hello.,The Theory Of Everything
30,0:3:16,0:3:18,196, Science.  Arts.,The Theory Of Everything
31,0:3:19,0:3:21,199, English?  French and Spanish.,The Theory Of Everything
32,0:3:23,0:3:25,203,What about you? What are you...,The Theory Of Everything
33,0:3:25,0:3:28,205,"Oh, cosmologist, I'm a cosmologist.",The Theory Of Everything
34,0:3:28,0:3:30,208,What's that?,The Theory Of Everything
35,0:3:30,0:3:33,210,It's a kind of religion for intelligent atheists.,The Theory Of Everything
36,0:3:33,0:3:35,213,Intelligent atheists?,The Theory Of Everything
37,0:3:35,0:3:38,215," You're not religious, are you?  C of E.",The Theory Of Everything
38,0:3:41,0:3:43,221," Church of England?  England, yeah.",The Theory Of Everything
39,0:3:46,0:3:47,226,I suppose someone has to be.,The Theory Of Everything
40,0:3:48,0:3:52,228," What do cosmologists worship, then?  What do we worship?",The Theory Of Everything
41,0:3:52,0:3:56,232,One single unifying equation that explains everything in the universe.,The Theory Of Everything
42,0:3:57,0:3:58,237, Really?  Yes.,The Theory Of Everything
43,0:3:58,0:3:59,238,What's the equation?,The Theory Of Everything
44,0:4:0,0:4:2,240,That is the question.,The Theory Of Everything
45,0:4:3,0:4:6,243,And a very good question. I'm not quite sure yet.,The Theory Of Everything
46,0:4:8,0:4:10,248,But I intend to find out.,The Theory Of Everything
47,0:4:17,0:4:19,257,Then why didn't you stay at Oxford?,The Theory Of Everything
48,0:4:19,0:4:21,259,"Because my finals exams were such a shambles,",The Theory Of Everything
49,0:4:21,0:4:24,261,"that the examiners, they summoned me in for a viva,",The Theory Of Everything
50,0:4:24,0:4:27,264, and they told me that if I got a second...  What's a viva?,The Theory Of Everything
