Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:5:15,0:5:18,315,Your move: Bishop to knight four.,The Thing
1,0:5:18,0:5:21,318,My move: Knight to rook three.,The Thing
2,0:5:22,0:5:25,322,"Poor baby, you're starting to lose it, aren't ya?",The Thing
3,0:5:31,0:5:33,331,Your move: King to rook one.,The Thing
4,0:5:34,0:5:36,334,My move: Rook to knight six.,The Thing
5,0:5:37,0:5:39,337,Checkmate. Checkmate.,The Thing
6,0:5:45,0:5:47,345,You cheating bitch.,The Thing
7,0:6:50,0:6:54,410," Childs, what's he doing?  Circling the camp.",The Thing
8,0:6:55,0:6:57,415,Who is he?,The Thing
9,0:6:57,0:7:0,417," Said ""Norge"" or something on the side.  It's Norwegian.",The Thing
10,0:9:5,0:9:7,545," George, are you okay?  Yeah, yeah, I'm okay.",The Thing
11,0:9:7,0:9:10,547, Are you?  Yeah. What's going on there?,The Thing
12,0:9:32,0:9:33,572,Watch it.,The Thing
13,0:9:58,0:9:59,598,Easy.,The Thing
14,0:9:59,0:10:3,599,"Easy, easy, easy. Yes.",The Thing
15,0:10:15,0:10:18,615,First goddamn week of winter.,The Thing
16,0:10:27,0:10:32,627,"Oh, come on. Four stitches. Barely grazed you.",The Thing
17,0:10:33,0:10:38,633,"What were they doing flying that low, shooting at a dog, at us?",The Thing
18,0:10:38,0:10:42,638,Stircrazy. Cabin fever. Who knows?,The Thing
19,0:10:43,0:10:47,643,"U.S. Number 31, calling McMurdo. Come in. Over.",The Thing
20,0:10:49,0:10:54,649,"U.S. Number 31, calling McMurdo. Urgent. Come in. Over.",The Thing
21,0:10:56,0:10:57,656,Great.,The Thing
22,0:10:57,0:11:0,657," Come on, come on.  Nobody!",The Thing
23,0:11:0,0:11:2,660,Nobody. Get a hold of somebody.,The Thing
24,0:11:2,0:11:4,662,Get a hold of anybody. We gotta report this mess.,The Thing
25,0:11:4,0:11:7,664,"Look, I haven't been able to reach shit in two weeks.",The Thing
26,0:11:8,0:11:11,668,"I doubt if anybody's talked to anybody on this entire continent,",The Thing
27,0:11:11,0:11:13,671,and you want me to reach somebody!,The Thing
28,0:11:25,0:11:26,685,Maybe we're at war with Norway.,The Thing
29,0:11:31,0:11:36,691,I was wondering when the El Capitan was gonna get a chance to use his popgun.,The Thing
30,0:11:40,0:11:44,700, How long have they been stationed there?  It says here only eight weeks.,The Thing
31,0:11:44,0:11:46,704,"Well, that's not long enough for guys to go bonkers.",The Thing
32,0:11:46,0:11:49,706,"Bullshit, bwana. Five minutes is enough to put a man over down here.",The Thing
33,0:11:49,0:11:50,709,Damn straight.,The Thing
34,0:11:50,0:11:54,710,"I mean, look at Palmer. He been the way he is since the first day.",The Thing
35,0:11:55,0:11:56,715,How many in their party?,The Thing
36,0:11:57,0:11:59,717,They started with 10. There'd be eight others left.,The Thing
37,0:11:59,0:12:3,719,How do we know? Guys as crazy as that could have done a lot of damage,The Thing
38,0:12:3,0:12:4,723,to their own before they got to us.,The Thing
39,0:12:4,0:12:7,724," Nothing we can do about that.  Yes, there is. I wanna go up.",The Thing
40,0:12:7,0:12:9,727, In this weather?  Bennings?,The Thing
41,0:12:9,0:12:11,729,Winds are gonna let up a tad next couple of hours.,The Thing
42,0:12:11,0:12:13,731,A tad?,The Thing
43,0:12:13,0:12:17,733,"Can't condone it much myself, but it is a short haul.",The Thing
44,0:12:17,0:12:19,737,"An hour there, an hour back.",The Thing
45,0:12:21,0:12:24,741,"Shit, Doc, I'll give you the lift. No problem.",The Thing
46,0:12:24,0:12:28,744," Forget it, Palmer.  Hey, thanks for thinking about it though.",The Thing
47,0:12:32,0:12:34,752,Loaded with kerosene. I count 15 cans.,The Thing
48,0:12:35,0:12:38,755,"MacReady! Mac, get your gear on!",The Thing
49,0:12:48,0:12:51,768," Mac, it may not clear up for a week.  Yeah.",The Thing
50,0:12:51,0:12:53,771," We're the closest ones to them.  It's all right by me, Doc.",The Thing
51,0:12:53,0:12:56,773,I'm just letting you know we're taking a chance.,The Thing
52,0:12:56,0:12:58,776,"Quit the griping, MacReady.",The Thing
53,0:12:58,0:13:0,778,"Those clouds keep moving over the sun, we're gonna get a whiteout.",The Thing
54,0:13:0,0:13:2,780,"We get caught in that, you can scratch one doctor and one pilot.",The Thing
55,0:13:3,0:13:5,783,This is real thin. It'll clear as soon as you get up.,The Thing
56,0:13:8,0:13:12,788,"It's up to you, Mac. If you don't wanna fly, we don't fly.",The Thing
57,0:13:13,0:13:15,793,"You really wanna save those crazy Swedes, huh?",The Thing
58,0:13:15,0:13:16,795,Norwegians.,The Thing
59,0:13:16,0:13:18,796," Which way, Doc?  Southwest.",The Thing
60,0:13:18,0:13:21,798,You're gonna have to read the map. 'Cause I'm gonna be busy.,The Thing
61,0:13:28,0:13:30,808,"Mac's really taking it up, huh?",The Thing
62,0:13:32,0:13:33,812,He knows what he's doing.,The Thing
63,0:14:36,0:14:38,876,"Nauls, will you turn that crap down?",The Thing
64,0:14:38,0:14:41,878,I'm trying to get some sleep. I was shot today.,The Thing
65,0:14:42,0:14:44,882,"Read, bwana. Will do.",The Thing
66,0:14:46,0:14:48,886,Writing's on the wall,The Thing
67,0:14:51,0:14:53,891,Very superstitious,The Thing
68,0:17:10,0:17:11,1030,Anybody there?,The Thing
69,0:17:13,0:17:14,1033,"Hey, Sweden!",The Thing
70,0:17:14,0:17:17,1034,"They're not Swedish, Mac. They're Norwegian.",The Thing
71,0:18:41,0:18:42,1121,Mac!,The Thing
72,0:19:18,0:19:20,1158,My God. What the hell happened here?,The Thing
73,0:19:23,0:19:24,1163,"Come on, Doc.",The Thing
74,0:20:3,0:20:8,1203, Portable video unit. Anything?  It's all in Norwegian.,The Thing
75,0:20:14,0:20:16,1214,"What are you doing, Doc?",The Thing
76,0:20:16,0:20:17,1216,Could be important work. I wanna take it back.,The Thing
77,0:20:17,0:20:20,1217,"Well, it's getting late. Let's hurry it up.",The Thing
78,0:20:20,0:20:22,1220,I'll check out the last few rooms.,The Thing
79,0:20:41,0:20:43,1241,"Hey, Copper, come here!",The Thing
80,0:21:26,0:21:28,1286,"Maybe they found a fossil,",The Thing
81,0:21:28,0:21:31,1288,"the remains of some animal buried in the ice, and they chopped it out.",The Thing
82,0:21:31,0:21:33,1291, But where is it?  Look at this.,The Thing
83,0:21:48,0:21:49,1308,What is that?,The Thing
84,0:21:51,0:21:53,1311,Is that a man in there or something?,The Thing
85,0:21:55,0:21:58,1315,"Whatever it is, they burned it up in a hurry.",The Thing
