Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:0:19,0:0:24,19,We've become bored with watching actors give us phoney emotions.,The Truman Show
1,0:0:24,0:0:28,24,We're tired of pyrotechnics and special effects.,The Truman Show
2,0:0:28,0:0:34,28,"While the world he inhabits is, in some respects, counterfeit. ",The Truman Show
3,0:0:34,0:0:38,34, There's nothing fake about Truman himself.,The Truman Show
4,0:0:38,0:0:41,38,"No scripts, no cue cards.",The Truman Show
5,0:0:41,0:0:47,41,"It isn't always Shakespeare, but it's genuine. It's a life.",The Truman Show
6,0:0:50,0:0:55,50,I'm not gonna make it. You're gonna have to go on without me.,The Truman Show
7,0:1:0,0:1:2,60,"No way, mister.",The Truman Show
8,0:1:3,0:1:7,63,"You're going to the top of this mountain, broken legs and all.",The Truman Show
9,0:1:11,0:1:15,71,"Many viewers leave him on all night, for comfort.",The Truman Show
10,0:1:16,0:1:19,76,"You're crazy, you know that?",The Truman Show
11,0:1:22,0:1:26,82,For me there's no difference between private life and public life.,The Truman Show
12,0:1:26,0:1:32,86,My life is The Truman Show. The Truman Show is a lifestyle.,The Truman Show
13,0:1:32,0:1:38,92,It's a noble life. It is... a truly blessed life.,The Truman Show
14,0:1:39,0:1:41,99,Tell me something I don't know.,The Truman Show
15,0:1:43,0:1:45,103,"All right. Promise me one thing, though.",The Truman Show
16,0:1:47,0:1:53,107,"If I die before the summit, use me as an alternative source of food.",The Truman Show
17,0:1:53,0:1:55,113,You're gross.,The Truman Show
18,0:1:59,0:2:1,119,It's all real.,The Truman Show
19,0:2:1,0:2:6,121,Nothing you see on the show is fake. It's merely controlled.,The Truman Show
20,0:2:7,0:2:13,127,THE TRUMAN SHOW,The Truman Show
21,0:2:15,0:2:18,135,"Eat me, dammit. That's an order.",The Truman Show
22,0:2:21,0:2:23,141,Maybe just your love handles.,The Truman Show
23,0:2:23,0:2:27,143,"I have love handles? Yeah, little ones.",The Truman Show
24,0:2:27,0:2:32,147," Truman, you're gonna be late.  Okay!",The Truman Show
25,0:2:43,0:2:45,163,"DAY 10,909",The Truman Show
26,0:2:46,0:2:49,166, Good morning!  Good morning!,The Truman Show
27,0:2:49,0:2:54,169,"And in case I don't see you, good afternoon and good night.",The Truman Show
28,0:2:56,0:3:0,176," Morning, Truman.  Morning, Spencer. Hey, Pluto.",The Truman Show
29,0:3:0,0:3:4,180, He won't hurt you.  I know. It's just me.,The Truman Show
30,0:3:5,0:3:7,185,"Come on, Pluto.",The Truman Show
31,0:3:28,0:3:30,208,What is it?,The Truman Show
32,0:3:50,0:3:55,230,An aircraft began shedding parts as it flew over Sea haven ,The Truman Show
33,0:3:56,0:4:0,236," A few moments ago. Luckily, no one was hurt.",The Truman Show
34,0:4:0,0:4:3,240,How do you feel today...? That's good.,The Truman Show
35,0:4:3,0:4:6,243, Thinking of flying somewhere?  Nope.,The Truman Show
36,0:4:7,0:4:12,247,This is classical Klyne. Forget about the perils of flying ,The Truman Show
37,0:4:12,0:4:15,252, And let this music calm you down.,The Truman Show
38,0:4:18,0:4:22,258,"""Dog Fancy', please. Thank you very much.",The Truman Show
39,0:4:24,0:4:28,264,"Get me a paper, will you, Errol?",The Truman Show
40,0:4:28,0:4:32,268,And one of these for the wife. Loves her fashion mags.,The Truman Show
41,0:4:32,0:4:36,272," That be all for you, Truman?  That's the whole kit and caboodle.",The Truman Show
42,0:4:47,0:4:49,287," Hank!  Good morning, Truman.",The Truman Show
43,0:4:50,0:4:55,290,"Good morning, Truman. Beautiful day, isn't it?",The Truman Show
44,0:4:55,0:4:59,295, Hows your lovely wife?  Good. Yours?,The Truman Show
45,0:4:59,0:5:2,299,Couldn't be better.,The Truman Show
46,0:5:2,0:5:7,302, Nice talking to you.  You too. Think about that policy.,The Truman Show
47,0:5:7,0:5:11,307,Two for one. That's a good deal. Doppelganger special.,The Truman Show
48,0:5:15,0:5:19,315,"Hey, fellas. Going in? Go ahead.",The Truman Show
