Index,Start Time,End Time,Start Time (sec),Text,Movie
0,0:1:56,0:1:58,116,13 meters. You should see it.,Titanic
1,0:2:12,0:2:13,132,"Okay, take her up and over the bow rail.",Titanic
2,0:2:16,0:2:19,136,"Mir 2, we're going over the bow. Stay with us.",Titanic
3,0:2:53,0:2:55,173,"Okay, quiet. We're rolling.",Titanic
4,0:2:56,0:2:59,176,Seeing her coming out of the darkness like a ghost ship...,Titanic
5,0:2:59,0:3:1,179,still gets me every time.,Titanic
6,0:3:3,0:3:7,183,To see the sad ruin of the great ship sitting here...,Titanic
7,0:3:7,0:3:9,187,where she landed at 2:30 in the morning,Titanic
8,0:3:9,0:3:11,189,"of April 15, 1912...",Titanic
9,0:3:12,0:3:14,192,after her long fall...,Titanic
10,0:3:15,0:3:17,195,from the world above.,Titanic
11,0:3:18,0:3:19,198,"You are so full of shit, boss.",Titanic
12,0:3:49,0:3:53,229,Dive 6. Here we are again on the deck of Titanic.,Titanic
13,0:3:54,0:3:57,234,"21/2 miles down. 3,821 meters.",Titanic
14,0:3:58,0:4:3,238,The pressure outside is 31/2 tons per square inch.,Titanic
15,0:4:4,0:4:5,244,These windows are 9 inches thick.,Titanic
16,0:4:5,0:4:9,245,"If they go, it's sayonara in two microseconds.",Titanic
17,0:4:10,0:4:12,250,"All right, enough of that bullshit.",Titanic
18,0:4:26,0:4:29,266,Just put her down on the roof of the officers' quarters like yesterday.,Titanic
19,0:4:31,0:4:35,271,"Mir 2, we're landing right over the Grand Staircase. You guys set to launch?",Titanic
20,0:4:36,0:4:39,276,"Yeah, Brock. Launching Dunkin now. Go, Charlie.",Titanic
21,0:4:47,0:4:49,287," All right, tether out.  Tether out.",Titanic
22,0:4:50,0:4:53,290,"Okay, Brock, we're dropping down along the hull.",Titanic
23,0:4:56,0:5:0,296,"Yeah, roger that. Okay, drop down and go into the first class gangway door.",Titanic
24,0:5:0,0:5:2,300,I want you guys working the D deck...,Titanic
25,0:5:2,0:5:4,302,reception area and the dining saloon.,Titanic
26,0:5:5,0:5:6,305,Copy that.,Titanic
27,0:5:12,0:5:15,312,"Tether out. Okay, now left. Left, left. Okay, coming left.",Titanic
28,0:5:24,0:5:28,324,Snoop Dog is on the move. We're headed down the stairwell.,Titanic
29,0:5:31,0:5:33,331,"Okay Lewis, drop down to B deck.",Titanic
30,0:5:33,0:5:36,333," Okay, A deck.  Give me some rope, Captain.",Titanic
31,0:5:36,0:5:37,336,B deck. Get in there. Get in there.,Titanic
32,0:6:16,0:6:18,376,Watch the door frame.,Titanic
33,0:6:18,0:6:20,378," Watch it, watch it.  I see it. I got it.",Titanic
34,0:6:26,0:6:27,386," We good? Bring her down.  We're good. Just chill, boss.",Titanic
35,0:6:42,0:6:44,402,"Okay, make your turn.",Titanic
36,0:6:44,0:6:47,404," Cable out, Captain.  Make your turn. Watch the wall.",Titanic
37,0:6:47,0:6:49,407,"Yeah Brock, we're at the piano. You copy?",Titanic
38,0:6:50,0:6:51,410,"Okay, copy that.",Titanic
39,0:6:59,0:7:1,419,"Okay, right there. Right there.",Titanic
40,0:7:1,0:7:3,421,"Okay, that's it, that's it. That's the bedroom door.",Titanic
