Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
0,0:0:43,0:0:45,43,Excuse me.,Dumb and Dumber,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 10,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.2574,
        ""joy"": 0.108583,
        ""fear"": 0.111284,
        ""disgust"": 0.19407,
        ""anger"": 0.133258
      }
    }
  }
}",en,0.2574,0.108583,0.111284,0.19407,0.133258
1,0:0:45,0:0:47,45,Could you tell me how to get to the medical school?,Dumb and Dumber,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 51,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.400581,
        ""joy"": 0.122865,
        ""fear"": 0.117008,
        ""disgust"": 0.038327,
        ""anger"": 0.041988
      }
    }
  }
}",en,0.400581,0.122865,0.117008,0.038327,0.041988
2,0:0:47,0:0:50,47,"I'm supposed to be doing a lecture in about 20 minutes,",Dumb and Dumber,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 55,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.134651,
        ""joy"": 0.106866,
        ""fear"": 0.162512,
        ""disgust"": 0.030326,
        ""anger"": 0.171071
      }
    }
  }
}",en,0.134651,0.106866,0.162512,0.030326,0.171071
3,0:0:50,0:0:52,50,and my driver's a bit lost.,Dumb and Dumber,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 27,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.528461,
        ""joy"": 0.008532,
        ""fear"": 0.265914,
        ""disgust"": 0.02254,
        ""anger"": 0.175035
      }
    }
  }
}",en,0.528461,0.008532,0.265914,0.02254,0.175035
4,0:0:52,0:0:55,52,"You go straight ahead,",Dumb and Dumber,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 22,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.109297,
        ""joy"": 0.383753,
        ""fear"": 0.053278,
        ""disgust"": 0.017797,
        ""anger"": 0.2824
      }
    }
  }
}",en,0.109297,0.383753,0.053278,0.017797,0.2824
5,0:0:55,0:0:58,55,"and, uh, you make a left over the bridge.",Dumb and Dumber,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 41,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.385095,
        ""joy"": 0.19503,
        ""fear"": 0.097505,
        ""disgust"": 0.023478,
        ""anger"": 0.055239
      }
    }
  }
}",en,0.385095,0.19503,0.097505,0.023478,0.055239
6,0:1:0,0:1:2,60,That's a lovely accent you have.,Dumb and Dumber,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 32,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.463755,
        ""joy"": 0.920995,
        ""fear"": 0.007195,
        ""disgust"": 0.003343,
        ""anger"": 0.031585
      }
    }
  }
}",en,0.463755,0.920995,0.007195,0.003343,0.031585
7,0:1:2,0:1:6,62, New Jersey?  Austria.,Dumb and Dumber,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 22,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.15654,
        ""joy"": 0.401421,
        ""fear"": 0.08266,
        ""disgust"": 0.06899,
        ""anger"": 0.062712
      }
    }
  }
}",en,0.15654,0.401421,0.08266,0.06899,0.062712
8,0:1:6,0:1:8,66,"Austria! Well, then...",Dumb and Dumber,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 22,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.162319,
        ""joy"": 0.382517,
        ""fear"": 0.120498,
        ""disgust"": 0.043228,
        ""anger"": 0.076556
      }
    }
  }
}",en,0.162319,0.382517,0.120498,0.043228,0.076556
9,0:1:8,0:1:11,68,"G'day, mate.",Dumb and Dumber,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 12,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.09586,
        ""joy"": 0.803467,
        ""fear"": 0.079885,
        ""disgust"": 0.026976,
        ""anger"": 0.03669
      }
    }
  }
}",en,0.09586,0.803467,0.079885,0.026976,0.03669
