Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
0,0:1:37,0:1:42,97,"""Random thoughts for Valentine's Day, 2004.",Eternal Sunshine of the Spotless Mind,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 43,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.175976,
        ""joy"": 0.825844,
        ""fear"": 0.029574,
        ""disgust"": 0.007526,
        ""anger"": 0.013907
      }
    }
  }
}",en,0.175976,0.825844,0.029574,0.007526,0.013907
1,0:1:44,0:1:47,104,"""Today is a holiday invented by greetingcard companies",Eternal Sunshine of the Spotless Mind,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 54,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.14195,
        ""joy"": 0.831279,
        ""fear"": 0.008489,
        ""disgust"": 0.23434,
        ""anger"": 0.067374
      }
    }
  }
}",en,0.14195,0.831279,0.008489,0.23434,0.067374
2,0:1:48,0:1:50,108,"""to make people feel like crap.",Eternal Sunshine of the Spotless Mind,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 31,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.222866,
        ""joy"": 0.035497,
        ""fear"": 0.24777,
        ""disgust"": 0.102776,
        ""anger"": 0.236514
      }
    }
  }
}",en,0.222866,0.035497,0.24777,0.102776,0.236514
3,0:1:54,0:1:56,114,"""I ditched work today.",Eternal Sunshine of the Spotless Mind,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 22,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.240192,
        ""joy"": 0.132875,
        ""fear"": 0.094933,
        ""disgust"": 0.018321,
        ""anger"": 0.608032
      }
    }
  }
}",en,0.240192,0.132875,0.094933,0.018321,0.608032
4,0:1:58,0:2:0,118,"""Took a train out to Montauk.",Eternal Sunshine of the Spotless Mind,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 29,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.050992,
        ""joy"": 0.33053,
        ""fear"": 0.112932,
        ""disgust"": 0.049168,
        ""anger"": 0.204647
      }
    }
  }
}",en,0.050992,0.33053,0.112932,0.049168,0.204647
5,0:2:2,0:2:4,122,"""I don't know why.",Eternal Sunshine of the Spotless Mind,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 18,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.50478,
        ""joy"": 0.019638,
        ""fear"": 0.214038,
        ""disgust"": 0.09126,
        ""anger"": 0.158168
      }
    }
  }
}",en,0.50478,0.019638,0.214038,0.09126,0.158168
6,0:2:6,0:2:8,126,"""I'm not an impulsive person.",Eternal Sunshine of the Spotless Mind,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 29,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.177696,
        ""joy"": 0.054742,
        ""fear"": 0.162755,
        ""disgust"": 0.024149,
        ""anger"": 0.167534
      }
    }
  }
}",en,0.177696,0.054742,0.162755,0.024149,0.167534
7,0:2:16,0:2:19,136,"""I guess I just woke up in a funk this morning.",Eternal Sunshine of the Spotless Mind,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 47,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.404477,
        ""joy"": 0.23061,
        ""fear"": 0.080741,
        ""disgust"": 0.036522,
        ""anger"": 0.094052
      }
    }
  }
}",en,0.404477,0.23061,0.080741,0.036522,0.094052
8,0:2:19,0:2:21,139,"""I gotta get my car fixed.""",Eternal Sunshine of the Spotless Mind,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 27,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.188863,
        ""joy"": 0.264224,
        ""fear"": 0.214389,
        ""disgust"": 0.022367,
        ""anger"": 0.183895
      }
    }
  }
}",en,0.188863,0.264224,0.214389,0.022367,0.183895
9,0:2:22,0:2:24,142,"Hi, Cindy. It's Joel.",Eternal Sunshine of the Spotless Mind,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 21,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.059123,
        ""joy"": 0.706318,
        ""fear"": 0.105028,
        ""disgust"": 0.020609,
        ""anger"": 0.058457
      }
    }
  }
}",en,0.059123,0.706318,0.105028,0.020609,0.058457
