Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
0,0:0:57,0:1:0,57,The thing I've been asking myself is,Get Out,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 36,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.170002,
        ""joy"": 0.527586,
        ""fear"": 0.147055,
        ""disgust"": 0.036207,
        ""anger"": 0.038682
      }
    }
  }
}",en,0.170002,0.527586,0.147055,0.036207,0.038682
1,0:1:0,0:1:4,60,what kind of sick individual names a street Edgewood Way,Get Out,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 56,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.595653,
        ""joy"": 0.086327,
        ""fear"": 0.058911,
        ""disgust"": 0.167999,
        ""anger"": 0.022808
      }
    }
  }
}",en,0.595653,0.086327,0.058911,0.167999,0.022808
2,0:1:4,0:1:7,64,and he put it half a mile away from Edgewood Lane?,Get Out,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 50,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.403532,
        ""joy"": 0.071858,
        ""fear"": 0.13183,
        ""disgust"": 0.02302,
        ""anger"": 0.109872
      }
    }
  }
}",en,0.403532,0.071858,0.13183,0.02302,0.109872
3,0:1:8,0:1:9,68,Huh?,Get Out,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 4,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.160908,
        ""joy"": 0.318044,
        ""fear"": 0.059853,
        ""disgust"": 0.029216,
        ""anger"": 0.145158
      }
    }
  }
}",en,0.160908,0.318044,0.059853,0.029216,0.145158
4,0:1:10,0:1:12,70,It's crazy.,Get Out,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 11,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.153562,
        ""joy"": 0.288588,
        ""fear"": 0.134933,
        ""disgust"": 0.027129,
        ""anger"": 0.172716
      }
    }
  }
}",en,0.153562,0.288588,0.134933,0.027129,0.172716
5,0:1:12,0:1:18,72,"You got me out here in this creepy, confusing ass suburb.",Get Out,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 57,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.106492,
        ""joy"": 0.002937,
        ""fear"": 0.574633,
        ""disgust"": 0.087843,
        ""anger"": 0.254402
      }
    }
  }
}",en,0.106492,0.002937,0.574633,0.087843,0.254402
6,0:1:20,0:1:25,80,"I'm serious, though. I feel like a sore thumb out here.",Get Out,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 55,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.497908,
        ""joy"": 0.182042,
        ""fear"": 0.234684,
        ""disgust"": 0.014704,
        ""anger"": 0.039212
      }
    }
  }
}",en,0.497908,0.182042,0.234684,0.014704,0.039212
7,0:1:26,0:1:29,86,"All right, baby. All right, I'll talk to you soon.",Get Out,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 50,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.15373,
        ""joy"": 0.566463,
        ""fear"": 0.099611,
        ""disgust"": 0.032787,
        ""anger"": 0.042974
      }
    }
  }
}",en,0.15373,0.566463,0.099611,0.032787,0.042974
8,0:1:30,0:1:31,90,See you.,Get Out,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 8,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.204706,
        ""joy"": 0.355557,
        ""fear"": 0.097089,
        ""disgust"": 0.027283,
        ""anger"": 0.072823
      }
    }
  }
}",en,0.204706,0.355557,0.097089,0.027283,0.072823
9,0:1:32,0:1:35,92,"Okay, so this is Rhine Ave.",Get Out,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 27,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.534179,
        ""joy"": 0.200839,
        ""fear"": 0.045271,
        ""disgust"": 0.023253,
        ""anger"": 0.045097
      }
    }
  }
}",en,0.534179,0.200839,0.045271,0.023253,0.045097
10,0:1:39,0:1:42,99,It's like a fucking hedge maze out here.,Get Out,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 40,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.070472,
        ""joy"": 0.01257,
        ""fear"": 0.650229,
        ""disgust"": 0.052802,
        ""anger"": 0.07592
      }
    }
  }
}",en,0.070472,0.01257,0.650229,0.052802,0.07592
11,0:1:45,0:1:46,105,East...,Get Out,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 7,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.180231,
        ""joy"": 0.384599,
        ""fear"": 0.182543,
        ""disgust"": 0.067455,
        ""anger"": 0.039667
      }
    }
  }
}",en,0.180231,0.384599,0.182543,0.067455,0.039667
12,0:1:47,0:1:51,107,Keep going straight and then I think it said a left on...,Get Out,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 57,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.531302,
        ""joy"": 0.124724,
        ""fear"": 0.125293,
        ""disgust"": 0.031521,
        ""anger"": 0.076115
      }
    }
  }
}",en,0.531302,0.124724,0.125293,0.031521,0.076115
