Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
0,0:2:47,0:2:49,167,"Oh, this is great.",Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 18,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.031714,
        ""joy"": 0.983351,
        ""fear"": 0.009015,
        ""disgust"": 0.002075,
        ""anger"": 0.006909
      }
    }
  }
}",en,0.031714,0.983351,0.009015,0.002075,0.006909
1,0:2:50,0:2:51,170,That's incredible.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 18,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.011486,
        ""joy"": 0.986496,
        ""fear"": 0.011858,
        ""disgust"": 0.00514,
        ""anger"": 0.013017
      }
    }
  }
}",en,0.011486,0.986496,0.011858,0.00514,0.013017
2,0:2:51,0:2:55,171,There's got to be 7 or 8 feet up there.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 39,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.202462,
        ""joy"": 0.12068,
        ""fear"": 0.106016,
        ""disgust"": 0.072457,
        ""anger"": 0.139583
      }
    }
  }
}",en,0.202462,0.12068,0.106016,0.072457,0.139583
3,0:2:55,0:2:57,175,And 80 years of dust.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 21,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.177104,
        ""joy"": 0.35103,
        ""fear"": 0.059372,
        ""disgust"": 0.01512,
        ""anger"": 0.146296
      }
    }
  }
}",en,0.177104,0.35103,0.059372,0.01512,0.146296
4,0:2:57,0:2:59,177,Look at all this height.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 24,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.1938,
        ""joy"": 0.137886,
        ""fear"": 0.365559,
        ""disgust"": 0.04236,
        ""anger"": 0.047378
      }
    }
  }
}",en,0.1938,0.137886,0.365559,0.04236,0.047378
5,0:2:59,0:3:0,179,"With our bedroom upstairs,",Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 26,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.135819,
        ""joy"": 0.62207,
        ""fear"": 0.077637,
        ""disgust"": 0.4734,
        ""anger"": 0.013247
      }
    }
  }
}",en,0.135819,0.62207,0.077637,0.4734,0.013247
6,0:3:0,0:3:1,180,we'd have all this space.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 25,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.176034,
        ""joy"": 0.286949,
        ""fear"": 0.196059,
        ""disgust"": 0.013552,
        ""anger"": 0.087463
      }
    }
  }
}",en,0.176034,0.286949,0.196059,0.013552,0.087463
7,0:3:2,0:3:3,182,For what?,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 9,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.165794,
        ""joy"": 0.160991,
        ""fear"": 0.214454,
        ""disgust"": 0.041198,
        ""anger"": 0.077001
      }
    }
  }
}",en,0.165794,0.160991,0.214454,0.041198,0.077001
8,0:3:3,0:3:4,183,Just space.,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 11,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.154026,
        ""joy"": 0.358681,
        ""fear"": 0.158909,
        ""disgust"": 0.014751,
        ""anger"": 0.079241
      }
    }
  }
}",en,0.154026,0.358681,0.158909,0.014751,0.079241
9,0:3:6,0:3:7,186,1...,Ghost,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 4,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.470364,
        ""joy"": 0.305737,
        ""fear"": 0.108572,
        ""disgust"": 0.036458,
        ""anger"": 0.040406
      }
    }
  }
}",en,0.470364,0.305737,0.108572,0.036458,0.040406
