Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
0,0:0:20,0:0:22,20,My name is Max.,Mad Max Fury Road,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 15,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.339296,
        ""joy"": 0.288074,
        ""fear"": 0.114305,
        ""disgust"": 0.008469,
        ""anger"": 0.035737
      }
    }
  }
}",en,0.339296,0.288074,0.114305,0.008469,0.035737
1,0:0:22,0:0:26,22,My world is fire and blood.,Mad Max Fury Road,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 27,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.246706,
        ""joy"": 0.107422,
        ""fear"": 0.512464,
        ""disgust"": 0.025685,
        ""anger"": 0.165286
      }
    }
  }
}",en,0.246706,0.107422,0.512464,0.025685,0.165286
2,0:0:26,0:0:27,26,Why are you hurting these people?,Mad Max Fury Road,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 33,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.828033,
        ""joy"": 0.002931,
        ""fear"": 0.094112,
        ""disgust"": 0.090853,
        ""anger"": 0.132602
      }
    }
  }
}",en,0.828033,0.002931,0.094112,0.090853,0.132602
3,0:0:27,0:0:30,27," It's the oil, stupid.  Oil wars.",Mad Max Fury Road,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 33,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.132451,
        ""joy"": 0.17622,
        ""fear"": 0.161479,
        ""disgust"": 0.067479,
        ""anger"": 0.21538
      }
    }
  }
}",en,0.132451,0.17622,0.161479,0.067479,0.21538
4,0:0:30,0:0:32,30,We are killing for guzzoline.,Mad Max Fury Road,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 29,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.517715,
        ""joy"": 0.016188,
        ""fear"": 0.180273,
        ""disgust"": 0.034233,
        ""anger"": 0.224726
      }
    }
  }
}",en,0.517715,0.016188,0.180273,0.034233,0.224726
5,0:0:32,0:0:34,32,The world is actually running out of water.,Mad Max Fury Road,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 43,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.459417,
        ""joy"": 0.543443,
        ""fear"": 0.049143,
        ""disgust"": 0.046235,
        ""anger"": 0.014726
      }
    }
  }
}",en,0.459417,0.543443,0.049143,0.046235,0.014726
6,0:0:34,0:0:37,34,Now there's the water wars.,Mad Max Fury Road,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 27,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.2135,
        ""joy"": 0.270054,
        ""fear"": 0.110526,
        ""disgust"": 0.030373,
        ""anger"": 0.083436
      }
    }
  }
}",en,0.2135,0.270054,0.110526,0.030373,0.083436
7,0:0:37,0:0:40,37,"Once, I was a cop,",Mad Max Fury Road,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 18,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.066641,
        ""joy"": 0.110391,
        ""fear"": 0.091881,
        ""disgust"": 0.205565,
        ""anger"": 0.206446
      }
    }
  }
}",en,0.066641,0.110391,0.091881,0.205565,0.206446
8,0:0:40,0:0:43,40,a road warrior searching for a righteous cause.,Mad Max Fury Road,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 47,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.145054,
        ""joy"": 0.251706,
        ""fear"": 0.086672,
        ""disgust"": 0.020242,
        ""anger"": 0.16516
      }
    }
  }
}",en,0.145054,0.251706,0.086672,0.020242,0.16516
9,0:0:43,0:0:44,43,...to the terminal freakout point.,Mad Max Fury Road,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 34,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.370384,
        ""joy"": 0.039764,
        ""fear"": 0.257672,
        ""disgust"": 0.033267,
        ""anger"": 0.122097
      }
    }
  }
}",en,0.370384,0.039764,0.257672,0.033267,0.122097
10,0:0:45,0:0:48,45,"Mankind has gone rogue, terrorizing itself.",Mad Max Fury Road,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 43,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.148085,
        ""joy"": 0.059298,
        ""fear"": 0.711049,
        ""disgust"": 0.028961,
        ""anger"": 0.061391
      }
    }
  }
}",en,0.148085,0.059298,0.711049,0.028961,0.061391
11,0:0:48,0:0:49,48,Thermonuclear skirmish.,Mad Max Fury Road,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 23,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.291506,
        ""joy"": 0.083508,
        ""fear"": 0.579917,
        ""disgust"": 0.014754,
        ""anger"": 0.057366
      }
    }
  }
}",en,0.291506,0.083508,0.579917,0.014754,0.057366
