Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
0,0:2:59,0:3:0,179,Goddamn bugs.,Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 13,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.125358,
        ""joy"": 0.010437,
        ""fear"": 0.054567,
        ""disgust"": 0.437721,
        ""anger"": 0.48298
      }
    }
  }
}",en,0.125358,0.010437,0.054567,0.437721,0.48298
1,0:3:20,0:3:22,200,"Oh, shit!",Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 9,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.106227,
        ""joy"": 0.025322,
        ""fear"": 0.053973,
        ""disgust"": 0.05186,
        ""anger"": 0.77209
      }
    }
  }
}",en,0.106227,0.025322,0.053973,0.05186,0.77209
2,0:3:27,0:3:28,207,"Oh, crap.",Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 9,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.242465,
        ""joy"": 0.013044,
        ""fear"": 0.279734,
        ""disgust"": 0.063268,
        ""anger"": 0.247452
      }
    }
  }
}",en,0.242465,0.013044,0.279734,0.063268,0.247452
3,0:3:41,0:3:43,221,"Well, Nick the Dick. What a surprise.",Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 37,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.054435,
        ""joy"": 0.458074,
        ""fear"": 0.048641,
        ""disgust"": 0.242731,
        ""anger"": 0.134784
      }
    }
  }
}",en,0.054435,0.458074,0.048641,0.242731,0.134784
4,0:3:43,0:3:45,223,Where you coming from?,Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 22,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.147716,
        ""joy"": 0.352461,
        ""fear"": 0.191281,
        ""disgust"": 0.032292,
        ""anger"": 0.061536
      }
    }
  }
}",en,0.147716,0.352461,0.191281,0.032292,0.061536
5,0:3:45,0:3:47,225,Fishing in Cuernavaca.,Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 22,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.262488,
        ""joy"": 0.452511,
        ""fear"": 0.160455,
        ""disgust"": 0.014378,
        ""anger"": 0.017866
      }
    }
  }
}",en,0.262488,0.452511,0.160455,0.014378,0.017866
6,0:3:48,0:3:50,228,Sure. Let's take a look at your catch.,Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 38,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.140628,
        ""joy"": 0.266034,
        ""fear"": 0.219589,
        ""disgust"": 0.020289,
        ""anger"": 0.242998
      }
    }
  }
}",en,0.140628,0.266034,0.219589,0.020289,0.242998
7,0:3:51,0:3:53,231,Come on.,Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 8,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.204706,
        ""joy"": 0.355557,
        ""fear"": 0.097089,
        ""disgust"": 0.027283,
        ""anger"": 0.072823
      }
    }
  }
}",en,0.204706,0.355557,0.097089,0.027283,0.072823
8,0:4:0,0:4:2,240,I would've thrown them back.,Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 28,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.289812,
        ""joy"": 0.037898,
        ""fear"": 0.09948,
        ""disgust"": 0.023116,
        ""anger"": 0.383548
      }
    }
  }
}",en,0.289812,0.037898,0.09948,0.023116,0.383548
9,0:4:8,0:4:11,248,What do you get? 100 bucks a head? 200?,Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 39,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.264772,
        ""joy"": 0.258375,
        ""fear"": 0.143205,
        ""disgust"": 0.030854,
        ""anger"": 0.087494
      }
    }
  }
}",en,0.264772,0.258375,0.143205,0.030854,0.087494
10,0:4:11,0:4:15,251,Hope you saved it all for your lawyer. You'll need it.,Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 54,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.093073,
        ""joy"": 0.450769,
        ""fear"": 0.141436,
        ""disgust"": 0.06058,
        ""anger"": 0.048089
      }
    }
  }
}",en,0.093073,0.450769,0.141436,0.06058,0.048089
11,0:4:20,0:4:21,260,We'll take it from here.,Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 24,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.140889,
        ""joy"": 0.453806,
        ""fear"": 0.106553,
        ""disgust"": 0.026433,
        ""anger"": 0.058197
      }
    }
  }
}",en,0.140889,0.453806,0.106553,0.026433,0.058197
12,0:4:21,0:4:23,261,Who the hell are you?,Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 21,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.1491,
        ""joy"": 0.022791,
        ""fear"": 0.1129,
        ""disgust"": 0.109635,
        ""anger"": 0.516531
      }
    }
  }
}",en,0.1491,0.022791,0.1129,0.109635,0.516531
13,0:4:23,0:4:24,263,"INS, Division 6.",Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 16,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.55369,
        ""joy"": 0.045473,
        ""fear"": 0.027233,
        ""disgust"": 0.045855,
        ""anger"": 0.150517
      }
    }
  }
}",en,0.55369,0.045473,0.027233,0.045855,0.150517
14,0:4:24,0:4:27,264,Division 6? I never heard of Division 6.,Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 40,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.690643,
        ""joy"": 0.070262,
        ""fear"": 0.044689,
        ""disgust"": 0.034875,
        ""anger"": 0.058134
      }
    }
  }
}",en,0.690643,0.070262,0.044689,0.034875,0.058134
15,0:4:27,0:4:28,267,Really?,Men In Black,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 7,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.165794,
        ""joy"": 0.160991,
        ""fear"": 0.214454,
        ""disgust"": 0.041198,
        ""anger"": 0.077001
      }
    }
  }
}",en,0.165794,0.160991,0.214454,0.041198,0.077001
