Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
0,0:0:24,0:0:26,24,It scares us just thinking about it.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 36,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.200296,
        ""joy"": 0.006124,
        ""fear"": 0.98353,
        ""disgust"": 0.006193,
        ""anger"": 0.013361
      }
    }
  }
}",en,0.200296,0.006124,0.98353,0.006193,0.013361
1,0:0:26,0:0:28,26,"When you hear it, you're gonna think we 're insane.",The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 51,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.128431,
        ""joy"": 0.046011,
        ""fear"": 0.124474,
        ""disgust"": 0.028959,
        ""anger"": 0.557622
      }
    }
  }
}",en,0.128431,0.046011,0.124474,0.028959,0.557622
2,0:0:28,0:0:31,28,"Try us. Please, from the start.",The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 31,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.20993,
        ""joy"": 0.387903,
        ""fear"": 0.101565,
        ""disgust"": 0.021464,
        ""anger"": 0.071192
      }
    }
  }
}",en,0.20993,0.387903,0.101565,0.021464,0.071192
3,0:0:33,0:0:38,33,"It started out small, like a hand or a leg was in a different position.",The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 71,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.285271,
        ""joy"": 0.269873,
        ""fear"": 0.144148,
        ""disgust"": 0.024063,
        ""anger"": 0.061359
      }
    }
  }
}",en,0.285271,0.269873,0.144148,0.024063,0.061359
4,0:0:39,0:0:41,39,Then its head was looking up instead of down.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 45,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.153089,
        ""joy"": 0.150394,
        ""fear"": 0.197406,
        ""disgust"": 0.036387,
        ""anger"": 0.133191
      }
    }
  }
}",en,0.153089,0.150394,0.197406,0.036387,0.133191
5,0:0:41,0:0:44,41,"And then one day, it was in a completely different room.",The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 56,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.24461,
        ""joy"": 0.243832,
        ""fear"": 0.143053,
        ""disgust"": 0.068734,
        ""anger"": 0.129837
      }
    }
  }
}",en,0.24461,0.243832,0.143053,0.068734,0.129837
6,0:0:44,0:0:46,44,It was moving around by itself.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 31,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.23085,
        ""joy"": 0.413842,
        ""fear"": 0.197024,
        ""disgust"": 0.024696,
        ""anger"": 0.027226
      }
    }
  }
}",en,0.23085,0.413842,0.197024,0.024696,0.027226
7,0:0:46,0:0:50,46,Ever think maybe somebody had a key to your apartment and was playing a trick?,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 78,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.108399,
        ""joy"": 0.571819,
        ""fear"": 0.074007,
        ""disgust"": 0.006137,
        ""anger"": 0.033896
      }
    }
  }
}",en,0.108399,0.571819,0.074007,0.006137,0.033896
8,0:0:50,0:0:52,50,That's exactly what we thought.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 31,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.210147,
        ""joy"": 0.284838,
        ""fear"": 0.149185,
        ""disgust"": 0.032008,
        ""anger"": 0.067739
      }
    }
  }
}",en,0.210147,0.284838,0.149185,0.032008,0.067739
9,0:0:53,0:0:55,53,But never once did we find any sign or evidence of intrusion.,The Conjuring,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 61,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.529946,
        ""joy"": 0.03347,
        ""fear"": 0.35495,
        ""disgust"": 0.019912,
        ""anger"": 0.057556
      }
    }
  }
}",en,0.529946,0.03347,0.35495,0.019912,0.057556
