Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
0,0:1:1,0:1:2,61,I think it's our tradition.,The Hunger Games,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 27,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.181703,
        ""joy"": 0.625519,
        ""fear"": 0.018757,
        ""disgust"": 0.167134,
        ""anger"": 0.019075
      }
    }
  }
}",en,0.181703,0.625519,0.018757,0.167134,0.019075
1,0:1:2,0:1:6,62,It comes out of a particularly painful part of our history.,The Hunger Games,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 59,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.861997,
        ""joy"": 0.010918,
        ""fear"": 0.106807,
        ""disgust"": 0.048384,
        ""anger"": 0.018092
      }
    }
  }
}",en,0.861997,0.010918,0.106807,0.048384,0.018092
2,0:1:6,0:1:7,66,"Yes, yes.",The Hunger Games,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 9,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.202257,
        ""joy"": 0.404497,
        ""fear"": 0.099191,
        ""disgust"": 0.023743,
        ""anger"": 0.069676
      }
    }
  }
}",en,0.202257,0.404497,0.099191,0.023743,0.069676
3,0:1:7,0:1:10,67,But it's been the way we've been able to heal.,The Hunger Games,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 46,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.210995,
        ""joy"": 0.699666,
        ""fear"": 0.07937,
        ""disgust"": 0.005313,
        ""anger"": 0.009002
      }
    }
  }
}",en,0.210995,0.699666,0.07937,0.005313,0.009002
4,0:1:10,0:1:12,70,"At first, it was a reminder of the rebellion.",The Hunger Games,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 45,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.576267,
        ""joy"": 0.625113,
        ""fear"": 0.052919,
        ""disgust"": 0.016088,
        ""anger"": 0.080721
      }
    }
  }
}",en,0.576267,0.625113,0.052919,0.016088,0.080721
5,0:1:12,0:1:15,72, It was a price the districts had to pay.  Yes.,The Hunger Games,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 47,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.186552,
        ""joy"": 0.486804,
        ""fear"": 0.059471,
        ""disgust"": 0.042712,
        ""anger"": 0.054282
      }
    }
  }
}",en,0.186552,0.486804,0.059471,0.042712,0.054282
6,0:1:15,0:1:17,75,But I think it has grown from that.,The Hunger Games,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 35,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.610838,
        ""joy"": 0.372848,
        ""fear"": 0.025991,
        ""disgust"": 0.047874,
        ""anger"": 0.031986
      }
    }
  }
}",en,0.610838,0.372848,0.025991,0.047874,0.031986
7,0:1:17,0:1:21,77,I think it's something that knits us all together.,The Hunger Games,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 50,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.109277,
        ""joy"": 0.710536,
        ""fear"": 0.047365,
        ""disgust"": 0.014988,
        ""anger"": 0.023473
      }
    }
  }
}",en,0.109277,0.710536,0.047365,0.014988,0.023473
8,0:1:23,0:1:25,83,This is your third year as Gamemaker.,The Hunger Games,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 37,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.16575,
        ""joy"": 0.606299,
        ""fear"": 0.043011,
        ""disgust"": 0.011752,
        ""anger"": 0.035482
      }
    }
  }
}",en,0.16575,0.606299,0.043011,0.011752,0.035482
9,0:1:27,0:1:30,87,What defines your personal signature?,The Hunger Games,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 37,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.080569,
        ""joy"": 0.225599,
        ""fear"": 0.041633,
        ""disgust"": 0.012172,
        ""anger"": 0.586688
      }
    }
  }
}",en,0.080569,0.225599,0.041633,0.012172,0.586688
