Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
0,0:0:49,0:0:52,49," Is everything in place?  You weren't supposed to relieve me,",The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 61,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.211203,
        ""joy"": 0.17552,
        ""fear"": 0.163794,
        ""disgust"": 0.039392,
        ""anger"": 0.080084
      }
    }
  }
}",en,0.211203,0.17552,0.163794,0.039392,0.080084
1,0:0:52,0:0:55,52,"I know, but I felt like taking a shift,",The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 39,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.253126,
        ""joy"": 0.267411,
        ""fear"": 0.280887,
        ""disgust"": 0.039016,
        ""anger"": 0.026551
      }
    }
  }
}",en,0.253126,0.267411,0.280887,0.039016,0.026551
2,0:0:55,0:0:58,55,"You like him, don't you? You like watching him,",The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 47,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.336251,
        ""joy"": 0.256732,
        ""fear"": 0.19545,
        ""disgust"": 0.041061,
        ""anger"": 0.090129
      }
    }
  }
}",en,0.336251,0.256732,0.19545,0.041061,0.090129
3,0:0:58,0:1:1,58," Don't be ridiculous,  We're gonna kill him, You understand?",The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 60,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.097099,
        ""joy"": 0.001207,
        ""fear"": 0.111195,
        ""disgust"": 0.060193,
        ""anger"": 0.812527
      }
    }
  }
}",en,0.097099,0.001207,0.111195,0.060193,0.812527
4,0:1:1,0:1:4,61,"Morpheus believes he is the One,",The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 32,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.085726,
        ""joy"": 0.134929,
        ""fear"": 0.620784,
        ""disgust"": 0.010199,
        ""anger"": 0.070726
      }
    }
  }
}",en,0.085726,0.134929,0.620784,0.010199,0.070726
5,0:1:4,0:1:7,64," Do you?  It doesn't matter what I believe,",The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 43,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.311171,
        ""joy"": 0.094912,
        ""fear"": 0.201119,
        ""disgust"": 0.052285,
        ""anger"": 0.100427
      }
    }
  }
}",en,0.311171,0.094912,0.201119,0.052285,0.100427
6,0:1:7,0:1:9,67,"You don't, do you?",The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 18,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.527278,
        ""joy"": 0.019772,
        ""fear"": 0.269547,
        ""disgust"": 0.045407,
        ""anger"": 0.128822
      }
    }
  }
}",en,0.527278,0.019772,0.269547,0.045407,0.128822
7,0:1:9,0:1:11,69, Did you hear that?  Hear what?,The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 31,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.20445,
        ""joy"": 0.334148,
        ""fear"": 0.161219,
        ""disgust"": 0.037325,
        ""anger"": 0.057583
      }
    }
  }
}",en,0.20445,0.334148,0.161219,0.037325,0.057583
8,0:1:11,0:1:13,71,Are you sure this line is clean?,The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 32,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.074109,
        ""joy"": 0.213055,
        ""fear"": 0.07869,
        ""disgust"": 0.146484,
        ""anger"": 0.071799
      }
    }
  }
}",en,0.074109,0.213055,0.07869,0.146484,0.071799
9,0:1:13,0:1:15,73,"Yeah, of course I'm sure,",The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 25,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.198178,
        ""joy"": 0.702889,
        ""fear"": 0.070839,
        ""disgust"": 0.010737,
        ""anger"": 0.035924
      }
    }
  }
}",en,0.198178,0.702889,0.070839,0.010737,0.035924
10,0:1:16,0:1:17,76,"I better go,",The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 12,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.198384,
        ""joy"": 0.385001,
        ""fear"": 0.103781,
        ""disgust"": 0.024692,
        ""anger"": 0.067155
      }
    }
  }
}",en,0.198384,0.385001,0.103781,0.024692,0.067155
11,0:1:55,0:1:57,115, Freeze! Police!  Hands on your head!,The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 37,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.130226,
        ""joy"": 0.208652,
        ""fear"": 0.325392,
        ""disgust"": 0.09349,
        ""anger"": 0.101268
      }
    }
  }
}",en,0.130226,0.208652,0.325392,0.09349,0.101268
12,0:1:57,0:1:59,117,Do it! Do it now!,The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 17,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.125047,
        ""joy"": 0.458466,
        ""fear"": 0.110994,
        ""disgust"": 0.032715,
        ""anger"": 0.100117
      }
    }
  }
}",en,0.125047,0.458466,0.110994,0.032715,0.100117
13,0:2:20,0:2:21,140,Lieutenant.,The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 11,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.038831,
        ""joy"": 0.746782,
        ""fear"": 0.147602,
        ""disgust"": 0.02607,
        ""anger"": 0.122583
      }
    }
  }
}",en,0.038831,0.746782,0.147602,0.02607,0.122583
14,0:2:21,0:2:23,141,"Oh, shit.",The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 9,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.129548,
        ""joy"": 0.024659,
        ""fear"": 0.061453,
        ""disgust"": 0.046224,
        ""anger"": 0.750304
      }
    }
  }
}",en,0.129548,0.024659,0.061453,0.046224,0.750304
15,0:2:23,0:2:27,143,"Lieutenant, you were given specific orders.",The Matrix,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 43,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.036544,
        ""joy"": 0.470065,
        ""fear"": 0.043273,
        ""disgust"": 0.010777,
        ""anger"": 0.165704
      }
    }
  }
}",en,0.036544,0.470065,0.043273,0.010777,0.165704
