Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
0,0:5:15,0:5:18,315,Your move: Bishop to knight four.,The Thing,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 33,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.113829,
        ""joy"": 0.59678,
        ""fear"": 0.078429,
        ""disgust"": 0.483546,
        ""anger"": 0.02002
      }
    }
  }
}",en,0.113829,0.59678,0.078429,0.483546,0.02002
1,0:5:18,0:5:21,318,My move: Knight to rook three.,The Thing,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 30,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.065442,
        ""joy"": 0.328062,
        ""fear"": 0.076889,
        ""disgust"": 0.021861,
        ""anger"": 0.311968
      }
    }
  }
}",en,0.065442,0.328062,0.076889,0.021861,0.311968
2,0:5:22,0:5:25,322,"Poor baby, you're starting to lose it, aren't ya?",The Thing,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 49,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.328049,
        ""joy"": 0.018489,
        ""fear"": 0.246116,
        ""disgust"": 0.03599,
        ""anger"": 0.047412
      }
    }
  }
}",en,0.328049,0.018489,0.246116,0.03599,0.047412
3,0:5:31,0:5:33,331,Your move: King to rook one.,The Thing,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 28,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.146803,
        ""joy"": 0.158968,
        ""fear"": 0.080525,
        ""disgust"": 0.015902,
        ""anger"": 0.368685
      }
    }
  }
}",en,0.146803,0.158968,0.080525,0.015902,0.368685
4,0:5:34,0:5:36,334,My move: Rook to knight six.,The Thing,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 28,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.060578,
        ""joy"": 0.320464,
        ""fear"": 0.085569,
        ""disgust"": 0.02233,
        ""anger"": 0.372972
      }
    }
  }
}",en,0.060578,0.320464,0.085569,0.02233,0.372972
5,0:5:37,0:5:39,337,Checkmate. Checkmate.,The Thing,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 21,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.128671,
        ""joy"": 0.222347,
        ""fear"": 0.114567,
        ""disgust"": 0.007007,
        ""anger"": 0.46625
      }
    }
  }
}",en,0.128671,0.222347,0.114567,0.007007,0.46625
6,0:5:45,0:5:47,345,You cheating bitch.,The Thing,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 19,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.398088,
        ""joy"": 0.001606,
        ""fear"": 0.026701,
        ""disgust"": 0.078444,
        ""anger"": 0.660284
      }
    }
  }
}",en,0.398088,0.001606,0.026701,0.078444,0.660284
7,0:6:50,0:6:54,410," Childs, what's he doing?  Circling the camp.",The Thing,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 45,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.104522,
        ""joy"": 0.533315,
        ""fear"": 0.087608,
        ""disgust"": 0.228668,
        ""anger"": 0.031695
      }
    }
  }
}",en,0.104522,0.533315,0.087608,0.228668,0.031695
8,0:6:55,0:6:57,415,Who is he?,The Thing,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 10,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.165794,
        ""joy"": 0.160991,
        ""fear"": 0.214454,
        ""disgust"": 0.041198,
        ""anger"": 0.077001
      }
    }
  }
}",en,0.165794,0.160991,0.214454,0.041198,0.077001
9,0:6:57,0:7:0,417," Said ""Norge"" or something on the side.  It's Norwegian.",The Thing,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 56,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.355078,
        ""joy"": 0.224614,
        ""fear"": 0.10495,
        ""disgust"": 0.112253,
        ""anger"": 0.040549
      }
    }
  }
}",en,0.355078,0.224614,0.10495,0.112253,0.040549
