Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
0,0:0:19,0:0:24,19,We've become bored with watching actors give us phoney emotions.,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 64,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.631103,
        ""joy"": 0.049528,
        ""fear"": 0.030922,
        ""disgust"": 0.037676,
        ""anger"": 0.091877
      }
    }
  }
}",en,0.631103,0.049528,0.030922,0.037676,0.091877
1,0:0:24,0:0:28,24,We're tired of pyrotechnics and special effects.,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 48,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.389063,
        ""joy"": 0.14011,
        ""fear"": 0.149322,
        ""disgust"": 0.006912,
        ""anger"": 0.033337
      }
    }
  }
}",en,0.389063,0.14011,0.149322,0.006912,0.033337
2,0:0:28,0:0:34,28,"While the world he inhabits is, in some respects, counterfeit. ",The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 63,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.591539,
        ""joy"": 0.289006,
        ""fear"": 0.049283,
        ""disgust"": 0.032516,
        ""anger"": 0.03226
      }
    }
  }
}",en,0.591539,0.289006,0.049283,0.032516,0.03226
3,0:0:34,0:0:38,34, There's nothing fake about Truman himself.,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 43,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.502741,
        ""joy"": 0.016109,
        ""fear"": 0.088615,
        ""disgust"": 0.148543,
        ""anger"": 0.159388
      }
    }
  }
}",en,0.502741,0.016109,0.088615,0.148543,0.159388
4,0:0:38,0:0:41,38,"No scripts, no cue cards.",The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 25,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.154194,
        ""joy"": 0.235824,
        ""fear"": 0.092835,
        ""disgust"": 0.006014,
        ""anger"": 0.206572
      }
    }
  }
}",en,0.154194,0.235824,0.092835,0.006014,0.206572
5,0:0:41,0:0:47,41,"It isn't always Shakespeare, but it's genuine. It's a life.",The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 59,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.266932,
        ""joy"": 0.594511,
        ""fear"": 0.060623,
        ""disgust"": 0.016846,
        ""anger"": 0.030113
      }
    }
  }
}",en,0.266932,0.594511,0.060623,0.016846,0.030113
6,0:0:50,0:0:55,50,I'm not gonna make it. You're gonna have to go on without me.,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 61,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.16537,
        ""joy"": 0.261613,
        ""fear"": 0.196118,
        ""disgust"": 0.017383,
        ""anger"": 0.12548
      }
    }
  }
}",en,0.16537,0.261613,0.196118,0.017383,0.12548
7,0:1:0,0:1:2,60,"No way, mister.",The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 15,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.041622,
        ""joy"": 0.855328,
        ""fear"": 0.040203,
        ""disgust"": 0.013105,
        ""anger"": 0.062717
      }
    }
  }
}",en,0.041622,0.855328,0.040203,0.013105,0.062717
8,0:1:3,0:1:7,63,"You're going to the top of this mountain, broken legs and all.",The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 62,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.27237,
        ""joy"": 0.04311,
        ""fear"": 0.437095,
        ""disgust"": 0.024025,
        ""anger"": 0.156977
      }
    }
  }
}",en,0.27237,0.04311,0.437095,0.024025,0.156977
9,0:1:11,0:1:15,71,"Many viewers leave him on all night, for comfort.",The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 49,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.682521,
        ""joy"": 0.265399,
        ""fear"": 0.051781,
        ""disgust"": 0.008658,
        ""anger"": 0.025533
      }
    }
  }
}",en,0.682521,0.265399,0.051781,0.008658,0.025533
10,0:1:16,0:1:19,76,"You're crazy, you know that?",The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 28,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.116525,
        ""joy"": 0.125433,
        ""fear"": 0.253175,
        ""disgust"": 0.013755,
        ""anger"": 0.299832
      }
    }
  }
}",en,0.116525,0.125433,0.253175,0.013755,0.299832
11,0:1:22,0:1:26,82,For me there's no difference between private life and public life.,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 66,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.09262,
        ""joy"": 0.267285,
        ""fear"": 0.056892,
        ""disgust"": 0.093509,
        ""anger"": 0.045596
      }
    }
  }
}",en,0.09262,0.267285,0.056892,0.093509,0.045596
12,0:1:26,0:1:32,86,My life is The Truman Show. The Truman Show is a lifestyle.,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 59,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.22944,
        ""joy"": 0.572429,
        ""fear"": 0.064813,
        ""disgust"": 0.033723,
        ""anger"": 0.057149
      }
    }
  }
}",en,0.22944,0.572429,0.064813,0.033723,0.057149
13,0:1:32,0:1:38,92,It's a noble life. It is... a truly blessed life.,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 49,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.200844,
        ""joy"": 0.603126,
        ""fear"": 0.06669,
        ""disgust"": 0.021129,
        ""anger"": 0.024018
      }
    }
  }
}",en,0.200844,0.603126,0.06669,0.021129,0.024018
14,0:1:39,0:1:41,99,Tell me something I don't know.,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 31,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.650482,
        ""joy"": 0.020313,
        ""fear"": 0.160749,
        ""disgust"": 0.048974,
        ""anger"": 0.142522
      }
    }
  }
}",en,0.650482,0.020313,0.160749,0.048974,0.142522
15,0:1:43,0:1:45,103,"All right. Promise me one thing, though.",The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 40,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.148727,
        ""joy"": 0.577237,
        ""fear"": 0.087737,
        ""disgust"": 0.021956,
        ""anger"": 0.047425
      }
    }
  }
}",en,0.148727,0.577237,0.087737,0.021956,0.047425
16,0:1:47,0:1:53,107,"If I die before the summit, use me as an alternative source of food.",The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 68,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.418773,
        ""joy"": 0.231293,
        ""fear"": 0.058382,
        ""disgust"": 0.016924,
        ""anger"": 0.053554
      }
    }
  }
}",en,0.418773,0.231293,0.058382,0.016924,0.053554
17,0:1:53,0:1:55,113,You're gross.,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 13,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.061647,
        ""joy"": 0.025726,
        ""fear"": 0.075497,
        ""disgust"": 0.490837,
        ""anger"": 0.38611
      }
    }
  }
}",en,0.061647,0.025726,0.075497,0.490837,0.38611
18,0:1:59,0:2:1,119,It's all real.,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 14,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.193714,
        ""joy"": 0.298023,
        ""fear"": 0.073557,
        ""disgust"": 0.031,
        ""anger"": 0.089021
      }
    }
  }
}",en,0.193714,0.298023,0.073557,0.031,0.089021
19,0:2:1,0:2:6,121,Nothing you see on the show is fake. It's merely controlled.,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 60,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.425989,
        ""joy"": 0.187479,
        ""fear"": 0.057145,
        ""disgust"": 0.057841,
        ""anger"": 0.135024
      }
    }
  }
}",en,0.425989,0.187479,0.057145,0.057841,0.135024
20,0:2:7,0:2:13,127,THE TRUMAN SHOW,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 15,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.231823,
        ""joy"": 0.313117,
        ""fear"": 0.099925,
        ""disgust"": 0.063216,
        ""anger"": 0.03701
      }
    }
  }
}",en,0.231823,0.313117,0.099925,0.063216,0.03701
21,0:2:15,0:2:18,135,"Eat me, dammit. That's an order.",The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 32,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.385361,
        ""joy"": 0.182921,
        ""fear"": 0.152751,
        ""disgust"": 0.021781,
        ""anger"": 0.156805
      }
    }
  }
}",en,0.385361,0.182921,0.152751,0.021781,0.156805
22,0:2:21,0:2:23,141,Maybe just your love handles.,The Truman Show,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 29,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.038058,
        ""joy"": 0.858247,
        ""fear"": 0.024403,
        ""disgust"": 0.016351,
        ""anger"": 0.036671
      }
    }
  }
}",en,0.038058,0.858247,0.024403,0.016351,0.036671
