Index,Start Time,End Time,Start Time (sec),Text,Movie,Analysis,Language,Sadness,Joy,Fear,Disgust,Anger
0,0:1:56,0:1:58,116,13 meters. You should see it.,Titanic,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 29,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.20541,
        ""joy"": 0.530049,
        ""fear"": 0.070167,
        ""disgust"": 0.024635,
        ""anger"": 0.053554
      }
    }
  }
}",en,0.20541,0.530049,0.070167,0.024635,0.053554
1,0:2:12,0:2:13,132,"Okay, take her up and over the bow rail.",Titanic,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 40,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.248054,
        ""joy"": 0.539385,
        ""fear"": 0.030502,
        ""disgust"": 0.013615,
        ""anger"": 0.047788
      }
    }
  }
}",en,0.248054,0.539385,0.030502,0.013615,0.047788
2,0:2:16,0:2:19,136,"Mir 2, we're going over the bow. Stay with us.",Titanic,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 46,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.176393,
        ""joy"": 0.536326,
        ""fear"": 0.079618,
        ""disgust"": 0.021445,
        ""anger"": 0.055895
      }
    }
  }
}",en,0.176393,0.536326,0.079618,0.021445,0.055895
3,0:2:53,0:2:55,173,"Okay, quiet. We're rolling.",Titanic,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 27,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.257425,
        ""joy"": 0.384885,
        ""fear"": 0.103443,
        ""disgust"": 0.009296,
        ""anger"": 0.2274
      }
    }
  }
}",en,0.257425,0.384885,0.103443,0.009296,0.2274
4,0:2:56,0:2:59,176,Seeing her coming out of the darkness like a ghost ship...,Titanic,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 58,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.170987,
        ""joy"": 0.048792,
        ""fear"": 0.835141,
        ""disgust"": 0.012547,
        ""anger"": 0.021464
      }
    }
  }
}",en,0.170987,0.048792,0.835141,0.012547,0.021464
5,0:2:59,0:3:1,179,still gets me every time.,Titanic,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 25,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.266573,
        ""joy"": 0.401314,
        ""fear"": 0.08908,
        ""disgust"": 0.024027,
        ""anger"": 0.065767
      }
    }
  }
}",en,0.266573,0.401314,0.08908,0.024027,0.065767
6,0:3:3,0:3:7,183,To see the sad ruin of the great ship sitting here...,Titanic,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 53,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.796502,
        ""joy"": 0.033138,
        ""fear"": 0.06315,
        ""disgust"": 0.013329,
        ""anger"": 0.02421
      }
    }
  }
}",en,0.796502,0.033138,0.06315,0.013329,0.02421
7,0:3:7,0:3:9,187,where she landed at 2:30 in the morning,Titanic,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 39,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.60602,
        ""joy"": 0.246949,
        ""fear"": 0.044813,
        ""disgust"": 0.031635,
        ""anger"": 0.024711
      }
    }
  }
}",en,0.60602,0.246949,0.044813,0.031635,0.024711
8,0:3:9,0:3:11,189,"of April 15, 1912...",Titanic,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 20,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.156889,
        ""joy"": 0.501115,
        ""fear"": 0.255826,
        ""disgust"": 0.044556,
        ""anger"": 0.041588
      }
    }
  }
}",en,0.156889,0.501115,0.255826,0.044556,0.041588
9,0:3:12,0:3:14,192,after her long fall...,Titanic,"{
  ""usage"": {
    ""text_units"": 1,
    ""text_characters"": 22,
    ""features"": 1
  },
  ""language"": ""en"",
  ""emotion"": {
    ""document"": {
      ""emotion"": {
        ""sadness"": 0.291751,
        ""joy"": 0.191902,
        ""fear"": 0.197617,
        ""disgust"": 0.028368,
        ""anger"": 0.041127
      }
    }
  }
}",en,0.291751,0.191902,0.197617,0.028368,0.041127
